 VAPOR RESISTANCE DRYING MODEL

 Generic Dryer for Python Class.                                                 

 SOLVENT  1 IS Water                    

 THE WSPEED IS  0.6096E+002 meters/min
 THE CWIDTH IS  0.4064E+002 cm
 THE WTOT   IS  0.1330E+002 gm/sqm

 DRYING SECTION   1

        TU =  0.3778E+002 deg C       HU  =  0.1583E+003 Cal/sqm/sec/deg C
        TL =  0.9333E+002 deg C       HL  =  0.5845E+002 Cal/sqm/sec/deg C

     TWALL =  0.1950E+003 deg C      VIEW =  0.0000E+000

 OVEN PARTIAL PRESSURE OF SOLVENT  1 IS  0.1202E-001 atm


 DISTANCE     TIME         TEMP         PERCENT      RATE         SOLVENT REMAINING
 cm           sec          deg C        REMAINING    gm/sqm/min   gm/sqm
                                                                  SOLVENT 1
 0.0000E+000    0.0000E+000    0.2000E+002    0.7870E+002    0.0000E+000    0.1047E+002
 0.2286E+001    0.2250E-001    0.2179E+002    0.7853E+002    0.2871E+003    0.1036E+002
 0.4572E+001    0.4500E-001    0.2319E+002    0.7831E+002    0.3459E+003    0.1023E+002
 0.6858E+001    0.6750E-001    0.2427E+002    0.7806E+002    0.3949E+003    0.1008E+002
 0.9144E+001    0.9000E-001    0.2509E+002    0.7778E+002    0.4346E+003    0.9919E+001
 0.1143E+002    0.1125E+000    0.2571E+002    0.7748E+002    0.4660E+003    0.9744E+001
 0.1372E+002    0.1350E+000    0.2618E+002    0.7714E+002    0.4904E+003    0.9560E+001
 0.1600E+002    0.1575E+000    0.2653E+002    0.7678E+002    0.5090E+003    0.9369E+001
 0.1829E+002    0.1800E+000    0.2680E+002    0.7640E+002    0.5230E+003    0.9173E+001
 0.2057E+002    0.2025E+000    0.2699E+002    0.7600E+002    0.5335E+003    0.8973E+001
 0.2286E+002    0.2250E+000    0.2714E+002    0.7558E+002    0.5413E+003    0.8770E+001
 0.2514E+002    0.2475E+000    0.2725E+002    0.7515E+002    0.5470E+003    0.8565E+001
 0.2743E+002    0.2700E+000    0.2733E+002    0.7469E+002    0.5511E+003    0.8358E+001
 0.2972E+002    0.2925E+000    0.2739E+002    0.7421E+002    0.5540E+003    0.8151E+001
 0.3200E+002    0.3150E+000    0.2744E+002    0.7371E+002    0.5561E+003    0.7942E+001
 0.3429E+002    0.3375E+000    0.2748E+002    0.7319E+002    0.5575E+003    0.7733E+001
 0.3657E+002    0.3600E+000    0.2751E+002    0.7265E+002    0.5584E+003    0.7524E+001
 0.3886E+002    0.3825E+000    0.2754E+002    0.7208E+002    0.5589E+003    0.7314E+001
 0.4115E+002    0.4050E+000    0.2756E+002    0.7149E+002    0.5592E+003    0.7104E+001
 0.4343E+002    0.4275E+000    0.2758E+002    0.7088E+002    0.5592E+003    0.6895E+001
 0.4572E+002    0.4500E+000    0.2760E+002    0.7024E+002    0.5591E+003    0.6685E+001
 0.4800E+002    0.4725E+000    0.2762E+002    0.6957E+002    0.5588E+003    0.6475E+001
 0.5029E+002    0.4950E+000    0.2764E+002    0.6887E+002    0.5584E+003    0.6266E+001
 0.5258E+002    0.5175E+000    0.2766E+002    0.6813E+002    0.5579E+003    0.6057E+001
 0.5486E+002    0.5400E+000    0.2768E+002    0.6737E+002    0.5573E+003    0.5848E+001
 0.5715E+002    0.5625E+000    0.2770E+002    0.6656E+002    0.5566E+003    0.5639E+001
 0.5943E+002    0.5850E+000    0.2772E+002    0.6572E+002    0.5558E+003    0.5431E+001
 0.6172E+002    0.6075E+000    0.2775E+002    0.6483E+002    0.5549E+003    0.5223E+001
 0.6400E+002    0.6300E+000    0.2777E+002    0.6390E+002    0.5539E+003    0.5015E+001
 0.6629E+002    0.6525E+000    0.2780E+002    0.6292E+002    0.5527E+003    0.4808E+001
 0.6858E+002    0.6750E+000    0.2783E+002    0.6189E+002    0.5514E+003    0.4601E+001
 0.7086E+002    0.6975E+000    0.2787E+002    0.6080E+002    0.5500E+003    0.4395E+001
 0.7315E+002    0.7200E+000    0.2791E+002    0.5966E+002    0.5483E+003    0.4189E+001
 0.7543E+002    0.7425E+000    0.2795E+002    0.5844E+002    0.5465E+003    0.3984E+001
 0.7772E+002    0.7650E+000    0.2800E+002    0.5716E+002    0.5443E+003    0.3780E+001
 0.8001E+002    0.7875E+000    0.2806E+002    0.5580E+002    0.5419E+003    0.3577E+001
 0.8229E+002    0.8100E+000    0.2812E+002    0.5436E+002    0.5392E+003    0.3375E+001
 0.8458E+002    0.8325E+000    0.2819E+002    0.5284E+002    0.5360E+003    0.3174E+001
 0.8686E+002    0.8550E+000    0.2828E+002    0.5122E+002    0.5323E+003    0.2974E+001
 0.8915E+002    0.8775E+000    0.2837E+002    0.4949E+002    0.5280E+003    0.2776E+001
 0.9144E+002    0.9000E+000    0.2848E+002    0.4766E+002    0.5230E+003    0.2580E+001
 0.9372E+002    0.9225E+000    0.2860E+002    0.4572E+002    0.5172E+003    0.2386E+001
 0.9601E+002    0.9450E+000    0.2875E+002    0.4365E+002    0.5103E+003    0.2195E+001
 0.9829E+002    0.9675E+000    0.2891E+002    0.4146E+002    0.5022E+003    0.2006E+001
 0.1006E+003    0.9900E+000    0.2911E+002    0.3914E+002    0.4925E+003    0.1822E+001
 0.1029E+003    0.1012E+001    0.2934E+002    0.3668E+002    0.4810E+003    0.1641E+001
 0.1052E+003    0.1035E+001    0.2962E+002    0.3410E+002    0.4672E+003    0.1466E+001
 0.1074E+003    0.1057E+001    0.2994E+002    0.3141E+002    0.4507E+003    0.1297E+001
 0.1097E+003    0.1080E+001    0.3033E+002    0.2861E+002    0.4311E+003    0.1135E+001
 0.1120E+003    0.1102E+001    0.3079E+002    0.2575E+002    0.4078E+003    0.9825E+000
 0.1143E+003    0.1125E+001    0.3133E+002    0.2287E+002    0.3804E+003    0.8399E+000
 0.1166E+003    0.1147E+001    0.3198E+002    0.2002E+002    0.3487E+003    0.7092E+000
 0.1189E+003    0.1170E+001    0.3273E+002    0.1728E+002    0.3128E+003    0.5919E+000
 0.1212E+003    0.1192E+001    0.3359E+002    0.1473E+002    0.2736E+003    0.4893E+000
 0.1234E+003    0.1215E+001    0.3456E+002    0.1243E+002    0.2324E+003    0.4021E+000
 0.1257E+003    0.1237E+001    0.3563E+002    0.1045E+002    0.1912E+003    0.3304E+000
 0.1280E+003    0.1260E+001    0.3677E+002    0.8798E+001    0.1524E+003    0.2733E+000
 0.1303E+003    0.1282E+001    0.3796E+002    0.7479E+001    0.1181E+003    0.2290E+000
 0.1326E+003    0.1305E+001    0.3916E+002    0.6454E+001    0.8949E+002    0.1954E+000
 0.1349E+003    0.1327E+001    0.4034E+002    0.5671E+001    0.6704E+002    0.1703E+000
 0.1372E+003    0.1350E+001    0.4147E+002    0.5075E+001    0.5023E+002    0.1515E+000
 0.1394E+003    0.1372E+001    0.4254E+002    0.4620E+001    0.3803E+002    0.1372E+000
 0.1417E+003    0.1395E+001    0.4353E+002    0.4265E+001    0.2933E+002    0.1262E+000
 0.1440E+003    0.1417E+001    0.4444E+002    0.3984E+001    0.2311E+002    0.1175E+000
 0.1463E+003    0.1440E+001    0.4527E+002    0.3756E+001    0.1860E+002    0.1106E+000
 0.1486E+003    0.1462E+001    0.4603E+002    0.3569E+001    0.1523E+002    0.1049E+000
 0.1509E+003    0.1485E+001    0.4672E+002    0.3413E+001    0.1266E+002    0.1001E+000
 0.1532E+003    0.1507E+001    0.4734E+002    0.3282E+001    0.1064E+002    0.9612E-001
 0.1554E+003    0.1530E+001    0.4789E+002    0.3170E+001    0.9029E+001    0.9273E-001
 0.1577E+003    0.1552E+001    0.4840E+002    0.3074E+001    0.7715E+001    0.8984E-001
 0.1600E+003    0.1575E+001    0.4885E+002    0.2991E+001    0.6632E+001    0.8735E-001
 0.1623E+003    0.1597E+001    0.4926E+002    0.2920E+001    0.5729E+001    0.8520E-001
 0.1646E+003    0.1620E+001    0.4962E+002    0.2858E+001    0.4969E+001    0.8334E-001
 0.1669E+003    0.1642E+001    0.4995E+002    0.2804E+001    0.4326E+001    0.8172E-001
 0.1692E+003    0.1665E+001    0.5024E+002    0.2756E+001    0.3778E+001    0.8030E-001
 0.1714E+003    0.1687E+001    0.5051E+002    0.2715E+001    0.3308E+001    0.7906E-001
 0.1737E+003    0.1710E+001    0.5074E+002    0.2679E+001    0.2904E+001    0.7797E-001
 0.1760E+003    0.1732E+001    0.5095E+002    0.2647E+001    0.2554E+001    0.7702E-001
 0.1783E+003    0.1755E+001    0.5114E+002    0.2618E+001    0.2250E+001    0.7617E-001
 0.1806E+003    0.1777E+001    0.5131E+002    0.2593E+001    0.1986E+001    0.7543E-001
 0.1829E+003    0.1800E+001    0.5147E+002    0.2571E+001    0.1756E+001    0.7477E-001
 0.1852E+003    0.1822E+001    0.5160E+002    0.2552E+001    0.1554E+001    0.7419E-001
 0.1874E+003    0.1845E+001    0.5172E+002    0.2535E+001    0.1376E+001    0.7367E-001
 0.1897E+003    0.1867E+001    0.5183E+002    0.2519E+001    0.1221E+001    0.7321E-001
 0.1920E+003    0.1890E+001    0.5193E+002    0.2506E+001    0.1084E+001    0.7281E-001
 0.1943E+003    0.1912E+001    0.5202E+002    0.2493E+001    0.9626E+000    0.7244E-001
 0.1966E+003    0.1935E+001    0.5210E+002    0.2483E+001    0.8557E+000    0.7212E-001
 0.1989E+003    0.1957E+001    0.5217E+002    0.2473E+001    0.7612E+000    0.7184E-001
 0.2012E+003    0.1980E+001    0.5223E+002    0.2465E+001    0.6775E+000    0.7158E-001
 0.2034E+003    0.2002E+001    0.5229E+002    0.2457E+001    0.6033E+000    0.7136E-001
 0.2057E+003    0.2025E+001    0.5234E+002    0.2450E+001    0.5374E+000    0.7116E-001
 0.2080E+003    0.2047E+001    0.5238E+002    0.2444E+001    0.4790E+000    0.7098E-001
 0.2103E+003    0.2070E+001    0.5242E+002    0.2439E+001    0.4270E+000    0.7082E-001
 0.2126E+003    0.2092E+001    0.5246E+002    0.2434E+001    0.3808E+000    0.7067E-001
 0.2149E+003    0.2115E+001    0.5249E+002    0.2430E+001    0.3397E+000    0.7055E-001
 0.2172E+003    0.2137E+001    0.5252E+002    0.2426E+001    0.3031E+000    0.7043E-001
 0.2194E+003    0.2160E+001    0.5254E+002    0.2423E+001    0.2705E+000    0.7033E-001
 0.2217E+003    0.2182E+001    0.5257E+002    0.2419E+001    0.2415E+000    0.7024E-001
 0.2240E+003    0.2205E+001    0.5259E+002    0.2417E+001    0.2156E+000    0.7016E-001
 0.2263E+003    0.2227E+001    0.5260E+002    0.2414E+001    0.1925E+000    0.7009E-001
 0.2286E+003    0.2250E+001    0.5262E+002    0.2412E+001    0.1719E+000    0.7002E-001

 THE OVERALL DRYING RATE IN DRYING SECTION  2 IS  0.2576E+003 gm/min

