 VAPOR RESISTANCE DRYING MODEL

 Generic Dryer for Python Class.                                                 

 SOLVENT  1 IS Water                    

 THE WSPEED IS  0.6096E+002 meters/min
 THE CWIDTH IS  0.4064E+002 cm
 THE WTOT   IS  0.1330E+002 gm/sqm

 DRYING SECTION   1

        TU =  0.2389E+002 deg C       HU  =  0.2114E+003 Cal/sqm/sec/deg C
        TL =  0.9333E+002 deg C       HL  =  0.5845E+002 Cal/sqm/sec/deg C

     TWALL =  0.1950E+003 deg C      VIEW =  0.0000E+000

 OVEN PARTIAL PRESSURE OF SOLVENT  1 IS  0.1202E-001 atm


 DISTANCE     TIME         TEMP         PERCENT      RATE         SOLVENT REMAINING
 cm           sec          deg C        REMAINING    gm/sqm/min   gm/sqm
                                                                  SOLVENT 1
 0.0000E+000    0.0000E+000    0.2000E+002    0.7870E+002    0.0000E+000    0.1047E+002
 0.2286E+001    0.2250E-001    0.2067E+002    0.7848E+002    0.3599E+003    0.1033E+002
 0.4572E+001    0.4500E-001    0.2115E+002    0.7824E+002    0.3867E+003    0.1019E+002
 0.6858E+001    0.6750E-001    0.2151E+002    0.7798E+002    0.4067E+003    0.1003E+002
 0.9144E+001    0.9000E-001    0.2176E+002    0.7771E+002    0.4214E+003    0.9877E+001
 0.1143E+002    0.1125E+000    0.2195E+002    0.7742E+002    0.4321E+003    0.9715E+001
 0.1372E+002    0.1350E+000    0.2208E+002    0.7712E+002    0.4398E+003    0.9550E+001
 0.1600E+002    0.1575E+000    0.2218E+002    0.7681E+002    0.4453E+003    0.9383E+001
 0.1829E+002    0.1800E+000    0.2225E+002    0.7648E+002    0.4492E+003    0.9214E+001
 0.2057E+002    0.2025E+000    0.2230E+002    0.7615E+002    0.4520E+003    0.9045E+001
 0.2286E+002    0.2250E+000    0.2234E+002    0.7580E+002    0.4539E+003    0.8874E+001
 0.2514E+002    0.2475E+000    0.2237E+002    0.7544E+002    0.4551E+003    0.8704E+001
 0.2743E+002    0.2700E+000    0.2239E+002    0.7508E+002    0.4560E+003    0.8533E+001
 0.2972E+002    0.2925E+000    0.2241E+002    0.7469E+002    0.4565E+003    0.8362E+001
 0.3200E+002    0.3150E+000    0.2243E+002    0.7430E+002    0.4568E+003    0.8190E+001
 0.3429E+002    0.3375E+000    0.2244E+002    0.7389E+002    0.4569E+003    0.8019E+001
 0.3657E+002    0.3600E+000    0.2245E+002    0.7348E+002    0.4569E+003    0.7848E+001
 0.3886E+002    0.3825E+000    0.2246E+002    0.7304E+002    0.4568E+003    0.7676E+001
 0.4115E+002    0.4050E+000    0.2247E+002    0.7260E+002    0.4567E+003    0.7505E+001
 0.4343E+002    0.4275E+000    0.2248E+002    0.7214E+002    0.4564E+003    0.7334E+001
 0.4572E+002    0.4500E+000    0.2249E+002    0.7166E+002    0.4562E+003    0.7163E+001
 0.4800E+002    0.4725E+000    0.2250E+002    0.7117E+002    0.4558E+003    0.6992E+001
 0.5029E+002    0.4950E+000    0.2251E+002    0.7066E+002    0.4555E+003    0.6821E+001
 0.5258E+002    0.5175E+000    0.2252E+002    0.7013E+002    0.4551E+003    0.6651E+001
 0.5486E+002    0.5400E+000    0.2253E+002    0.6958E+002    0.4547E+003    0.6480E+001
 0.5715E+002    0.5625E+000    0.2254E+002    0.6901E+002    0.4542E+003    0.6310E+001
 0.5943E+002    0.5850E+000    0.2256E+002    0.6843E+002    0.4537E+003    0.6140E+001
 0.6172E+002    0.6075E+000    0.2257E+002    0.6782E+002    0.4532E+003    0.5970E+001
 0.6400E+002    0.6300E+000    0.2258E+002    0.6718E+002    0.4526E+003    0.5800E+001
 0.6629E+002    0.6525E+000    0.2260E+002    0.6653E+002    0.4519E+003    0.5631E+001
 0.6858E+002    0.6750E+000    0.2262E+002    0.6584E+002    0.4512E+003    0.5461E+001
 0.7086E+002    0.6975E+000    0.2263E+002    0.6513E+002    0.4505E+003    0.5292E+001
 0.7315E+002    0.7200E+000    0.2265E+002    0.6440E+002    0.4496E+003    0.5124E+001
 0.7543E+002    0.7425E+000    0.2267E+002    0.6363E+002    0.4487E+003    0.4956E+001
 0.7772E+002    0.7650E+000    0.2270E+002    0.6283E+002    0.4478E+003    0.4788E+001
 0.8001E+002    0.7875E+000    0.2272E+002    0.6199E+002    0.4467E+003    0.4620E+001
 0.8229E+002    0.8100E+000    0.2275E+002    0.6112E+002    0.4455E+003    0.4453E+001
 0.8458E+002    0.8325E+000    0.2278E+002    0.6021E+002    0.4442E+003    0.4286E+001
 0.8686E+002    0.8550E+000    0.2281E+002    0.5926E+002    0.4428E+003    0.4120E+001
 0.8915E+002    0.8775E+000    0.2285E+002    0.5827E+002    0.4413E+003    0.3955E+001
 0.9144E+002    0.9000E+000    0.2289E+002    0.5723E+002    0.4395E+003    0.3790E+001
 0.9372E+002    0.9225E+000    0.2293E+002    0.5614E+002    0.4376E+003    0.3626E+001
 0.9601E+002    0.9450E+000    0.2298E+002    0.5500E+002    0.4355E+003    0.3463E+001
 0.9829E+002    0.9675E+000    0.2303E+002    0.5381E+002    0.4331E+003    0.3300E+001
 0.1006E+003    0.9900E+000    0.2309E+002    0.5256E+002    0.4304E+003    0.3139E+001
 0.1029E+003    0.1012E+001    0.2315E+002    0.5125E+002    0.4274E+003    0.2979E+001
 0.1052E+003    0.1035E+001    0.2322E+002    0.4988E+002    0.4241E+003    0.2820E+001
 0.1074E+003    0.1057E+001    0.2331E+002    0.4845E+002    0.4203E+003    0.2662E+001
 0.1097E+003    0.1080E+001    0.2340E+002    0.4694E+002    0.4160E+003    0.2506E+001
 0.1120E+003    0.1102E+001    0.2350E+002    0.4536E+002    0.4112E+003    0.2352E+001
 0.1143E+003    0.1125E+001    0.2361E+002    0.4371E+002    0.4056E+003    0.2200E+001
 0.1166E+003    0.1147E+001    0.2374E+002    0.4198E+002    0.3994E+003    0.2050E+001
 0.1189E+003    0.1170E+001    0.2389E+002    0.4018E+002    0.3922E+003    0.1903E+001
 0.1212E+003    0.1192E+001    0.2405E+002    0.3831E+002    0.3841E+003    0.1759E+001
 0.1234E+003    0.1215E+001    0.2424E+002    0.3636E+002    0.3747E+003    0.1618E+001
 0.1257E+003    0.1237E+001    0.2446E+002    0.3434E+002    0.3641E+003    0.1482E+001
 0.1280E+003    0.1260E+001    0.2470E+002    0.3227E+002    0.3519E+003    0.1350E+001
 0.1303E+003    0.1282E+001    0.2498E+002    0.3016E+002    0.3382E+003    0.1223E+001
 0.1326E+003    0.1305E+001    0.2530E+002    0.2801E+002    0.3226E+003    0.1102E+001
 0.1349E+003    0.1327E+001    0.2566E+002    0.2585E+002    0.3051E+003    0.9878E+000
 0.1372E+003    0.1350E+001    0.2606E+002    0.2371E+002    0.2857E+003    0.8806E+000
 0.1394E+003    0.1372E+001    0.2652E+002    0.2162E+002    0.2644E+003    0.7815E+000
 0.1417E+003    0.1395E+001    0.2703E+002    0.1961E+002    0.2415E+003    0.6910E+000
 0.1440E+003    0.1417E+001    0.2758E+002    0.1770E+002    0.2174E+003    0.6095E+000
 0.1463E+003    0.1440E+001    0.2818E+002    0.1594E+002    0.1926E+003    0.5372E+000
 0.1486E+003    0.1462E+001    0.2882E+002    0.1434E+002    0.1678E+003    0.4743E+000
 0.1509E+003    0.1485E+001    0.2949E+002    0.1292E+002    0.1439E+003    0.4204E+000
 0.1532E+003    0.1507E+001    0.3018E+002    0.1169E+002    0.1215E+003    0.3748E+000
 0.1554E+003    0.1530E+001    0.3088E+002    0.1063E+002    0.1012E+003    0.3369E+000
 0.1577E+003    0.1552E+001    0.3157E+002    0.9737E+001    0.8343E+002    0.3056E+000
 0.1600E+003    0.1575E+001    0.3224E+002    0.8994E+001    0.6831E+002    0.2800E+000
 0.1623E+003    0.1597E+001    0.3288E+002    0.8379E+001    0.5575E+002    0.2591E+000
 0.1646E+003    0.1620E+001    0.3348E+002    0.7871E+001    0.4551E+002    0.2420E+000
 0.1669E+003    0.1642E+001    0.3404E+002    0.7450E+001    0.3727E+002    0.2280E+000
 0.1692E+003    0.1665E+001    0.3455E+002    0.7101E+001    0.3068E+002    0.2165E+000
 0.1714E+003    0.1687E+001    0.3503E+002    0.6810E+001    0.2542E+002    0.2070E+000
 0.1737E+003    0.1710E+001    0.3546E+002    0.6565E+001    0.2120E+002    0.1991E+000
 0.1760E+003    0.1732E+001    0.3584E+002    0.6359E+001    0.1780E+002    0.1924E+000
 0.1783E+003    0.1755E+001    0.3619E+002    0.6184E+001    0.1504E+002    0.1867E+000
 0.1806E+003    0.1777E+001    0.3650E+002    0.6035E+001    0.1278E+002    0.1819E+000
 0.1829E+003    0.1800E+001    0.3678E+002    0.5907E+001    0.1091E+002    0.1779E+000
 0.1852E+003    0.1822E+001    0.3703E+002    0.5798E+001    0.9350E+001    0.1743E+000
 0.1874E+003    0.1845E+001    0.3725E+002    0.5703E+001    0.8043E+001    0.1713E+000
 0.1897E+003    0.1867E+001    0.3744E+002    0.5621E+001    0.6940E+001    0.1687E+000
 0.1920E+003    0.1890E+001    0.3762E+002    0.5550E+001    0.6004E+001    0.1665E+000
 0.1943E+003    0.1912E+001    0.3777E+002    0.5489E+001    0.5205E+001    0.1645E+000
 0.1966E+003    0.1935E+001    0.3791E+002    0.5435E+001    0.4522E+001    0.1628E+000
 0.1989E+003    0.1957E+001    0.3803E+002    0.5389E+001    0.3935E+001    0.1614E+000
 0.2012E+003    0.1980E+001    0.3813E+002    0.5348E+001    0.3430E+001    0.1601E+000
 0.2034E+003    0.2002E+001    0.3823E+002    0.5313E+001    0.2993E+001    0.1589E+000
 0.2057E+003    0.2025E+001    0.3831E+002    0.5282E+001    0.2615E+001    0.1580E+000
 0.2080E+003    0.2047E+001    0.3838E+002    0.5254E+001    0.2286E+001    0.1571E+000
 0.2103E+003    0.2070E+001    0.3845E+002    0.5231E+001    0.2001E+001    0.1564E+000
 0.2126E+003    0.2092E+001    0.3851E+002    0.5210E+001    0.1753E+001    0.1557E+000
 0.2149E+003    0.2115E+001    0.3856E+002    0.5192E+001    0.1536E+001    0.1551E+000
 0.2172E+003    0.2137E+001    0.3860E+002    0.5176E+001    0.1347E+001    0.1546E+000
 0.2194E+003    0.2160E+001    0.3864E+002    0.5161E+001    0.1182E+001    0.1542E+000
 0.2217E+003    0.2182E+001    0.3867E+002    0.5149E+001    0.1037E+001    0.1538E+000
 0.2240E+003    0.2205E+001    0.3871E+002    0.5138E+001    0.9108E+000    0.1534E+000
 0.2263E+003    0.2227E+001    0.3873E+002    0.5129E+001    0.8000E+000    0.1531E+000
 0.2286E+003    0.2250E+001    0.3876E+002    0.5120E+001    0.7030E+000    0.1529E+000

 THE OVERALL DRYING RATE IN DRYING SECTION  2 IS  0.2555E+003 gm/min

