 VAPOR RESISTANCE DRYING MODEL

 Generic Dryer for Python Class.                                                 

 SOLVENT  1 IS Water                    

 THE WSPEED IS  0.6096E+002 meters/min
 THE CWIDTH IS  0.4064E+002 cm
 THE WTOT   IS  0.1330E+002 gm/sqm

 DRYING SECTION   1

        TU =  0.2389E+002 deg C       HU  =  0.2563E+003 Cal/sqm/sec/deg C
        TL =  0.9333E+002 deg C       HL  =  0.5845E+002 Cal/sqm/sec/deg C

     TWALL =  0.1950E+003 deg C      VIEW =  0.0000E+000

 OVEN PARTIAL PRESSURE OF SOLVENT  1 IS  0.1202E-001 atm


 DISTANCE     TIME         TEMP         PERCENT      RATE         SOLVENT REMAINING
 cm           sec          deg C        REMAINING    gm/sqm/min   gm/sqm
                                                                  SOLVENT 1
 0.0000E+000    0.0000E+000    0.2000E+002    0.7870E+002    0.0000E+000    0.1047E+002
 0.2286E+001    0.2250E-001    0.2045E+002    0.7844E+002    0.4302E+003    0.1031E+002
 0.4572E+001    0.4500E-001    0.2077E+002    0.7816E+002    0.4514E+003    0.1014E+002
 0.6858E+001    0.6750E-001    0.2098E+002    0.7786E+002    0.4661E+003    0.9962E+001
 0.9144E+001    0.9000E-001    0.2113E+002    0.7755E+002    0.4762E+003    0.9783E+001
 0.1143E+002    0.1125E+000    0.2123E+002    0.7722E+002    0.4831E+003    0.9602E+001
 0.1372E+002    0.1350E+000    0.2130E+002    0.7688E+002    0.4877E+003    0.9419E+001
 0.1600E+002    0.1575E+000    0.2135E+002    0.7653E+002    0.4908E+003    0.9235E+001
 0.1829E+002    0.1800E+000    0.2139E+002    0.7616E+002    0.4928E+003    0.9050E+001
 0.2057E+002    0.2025E+000    0.2141E+002    0.7578E+002    0.4940E+003    0.8865E+001
 0.2286E+002    0.2250E+000    0.2143E+002    0.7539E+002    0.4948E+003    0.8680E+001
 0.2514E+002    0.2475E+000    0.2145E+002    0.7499E+002    0.4952E+003    0.8494E+001
 0.2743E+002    0.2700E+000    0.2146E+002    0.7457E+002    0.4954E+003    0.8308E+001
 0.2972E+002    0.2925E+000    0.2147E+002    0.7414E+002    0.4954E+003    0.8122E+001
 0.3200E+002    0.3150E+000    0.2148E+002    0.7370E+002    0.4953E+003    0.7937E+001
 0.3429E+002    0.3375E+000    0.2149E+002    0.7323E+002    0.4951E+003    0.7751E+001
 0.3657E+002    0.3600E+000    0.2150E+002    0.7276E+002    0.4948E+003    0.7565E+001
 0.3886E+002    0.3825E+000    0.2151E+002    0.7226E+002    0.4945E+003    0.7380E+001
 0.4115E+002    0.4050E+000    0.2152E+002    0.7175E+002    0.4941E+003    0.7195E+001
 0.4343E+002    0.4275E+000    0.2153E+002    0.7122E+002    0.4937E+003    0.7010E+001
 0.4572E+002    0.4500E+000    0.2154E+002    0.7067E+002    0.4933E+003    0.6825E+001
 0.4800E+002    0.4725E+000    0.2155E+002    0.7009E+002    0.4928E+003    0.6640E+001
 0.5029E+002    0.4950E+000    0.2156E+002    0.6950E+002    0.4922E+003    0.6455E+001
 0.5258E+002    0.5175E+000    0.2158E+002    0.6888E+002    0.4916E+003    0.6271E+001
 0.5486E+002    0.5400E+000    0.2159E+002    0.6824E+002    0.4910E+003    0.6087E+001
 0.5715E+002    0.5625E+000    0.2161E+002    0.6757E+002    0.4903E+003    0.5903E+001
 0.5943E+002    0.5850E+000    0.2162E+002    0.6688E+002    0.4896E+003    0.5719E+001
 0.6172E+002    0.6075E+000    0.2164E+002    0.6615E+002    0.4887E+003    0.5536E+001
 0.6400E+002    0.6300E+000    0.2166E+002    0.6539E+002    0.4878E+003    0.5353E+001
 0.6629E+002    0.6525E+000    0.2168E+002    0.6460E+002    0.4869E+003    0.5171E+001
 0.6858E+002    0.6750E+000    0.2170E+002    0.6378E+002    0.4858E+003    0.4988E+001
 0.7086E+002    0.6975E+000    0.2173E+002    0.6292E+002    0.4846E+003    0.4807E+001
 0.7315E+002    0.7200E+000    0.2175E+002    0.6202E+002    0.4833E+003    0.4625E+001
 0.7543E+002    0.7425E+000    0.2178E+002    0.6107E+002    0.4819E+003    0.4445E+001
 0.7772E+002    0.7650E+000    0.2182E+002    0.6009E+002    0.4803E+003    0.4265E+001
 0.8001E+002    0.7875E+000    0.2185E+002    0.5905E+002    0.4785E+003    0.4085E+001
 0.8229E+002    0.8100E+000    0.2189E+002    0.5796E+002    0.4766E+003    0.3906E+001
 0.8458E+002    0.8325E+000    0.2193E+002    0.5683E+002    0.4744E+003    0.3729E+001
 0.8686E+002    0.8550E+000    0.2198E+002    0.5563E+002    0.4719E+003    0.3552E+001
 0.8915E+002    0.8775E+000    0.2204E+002    0.5437E+002    0.4692E+003    0.3376E+001
 0.9144E+002    0.9000E+000    0.2210E+002    0.5305E+002    0.4661E+003    0.3201E+001
 0.9372E+002    0.9225E+000    0.2216E+002    0.5166E+002    0.4626E+003    0.3027E+001
 0.9601E+002    0.9450E+000    0.2224E+002    0.5020E+002    0.4586E+003    0.2855E+001
 0.9829E+002    0.9675E+000    0.2233E+002    0.4866E+002    0.4541E+003    0.2685E+001
 0.1006E+003    0.9900E+000    0.2242E+002    0.4705E+002    0.4490E+003    0.2517E+001
 0.1029E+003    0.1012E+001    0.2253E+002    0.4535E+002    0.4431E+003    0.2351E+001
 0.1052E+003    0.1035E+001    0.2266E+002    0.4357E+002    0.4364E+003    0.2187E+001
 0.1074E+003    0.1057E+001    0.2280E+002    0.4170E+002    0.4287E+003    0.2026E+001
 0.1097E+003    0.1080E+001    0.2296E+002    0.3975E+002    0.4198E+003    0.1869E+001
 0.1120E+003    0.1102E+001    0.2315E+002    0.3771E+002    0.4096E+003    0.1715E+001
 0.1143E+003    0.1125E+001    0.2336E+002    0.3560E+002    0.3979E+003    0.1566E+001
 0.1166E+003    0.1147E+001    0.2360E+002    0.3342E+002    0.3843E+003    0.1422E+001
 0.1189E+003    0.1170E+001    0.2389E+002    0.3118E+002    0.3688E+003    0.1284E+001
 0.1212E+003    0.1192E+001    0.2421E+002    0.2891E+002    0.3511E+003    0.1152E+001
 0.1234E+003    0.1215E+001    0.2458E+002    0.2662E+002    0.3312E+003    0.1028E+001
 0.1257E+003    0.1237E+001    0.2500E+002    0.2435E+002    0.3088E+003    0.9120E+000
 0.1280E+003    0.1260E+001    0.2547E+002    0.2214E+002    0.2842E+003    0.8054E+000
 0.1303E+003    0.1282E+001    0.2600E+002    0.2001E+002    0.2577E+003    0.7087E+000
 0.1326E+003    0.1305E+001    0.2658E+002    0.1802E+002    0.2299E+003    0.6225E+000
 0.1349E+003    0.1327E+001    0.2720E+002    0.1618E+002    0.2014E+003    0.5470E+000
 0.1372E+003    0.1350E+001    0.2787E+002    0.1454E+002    0.1732E+003    0.4821E+000
 0.1394E+003    0.1372E+001    0.2856E+002    0.1310E+002    0.1463E+003    0.4272E+000
 0.1417E+003    0.1395E+001    0.2926E+002    0.1187E+002    0.1217E+003    0.3816E+000
 0.1440E+003    0.1417E+001    0.2996E+002    0.1083E+002    0.9986E+002    0.3441E+000
 0.1463E+003    0.1440E+001    0.3064E+002    0.9969E+001    0.8117E+002    0.3137E+000
 0.1486E+003    0.1462E+001    0.3129E+002    0.9259E+001    0.6563E+002    0.2891E+000
 0.1509E+003    0.1485E+001    0.3189E+002    0.8678E+001    0.5300E+002    0.2692E+000
 0.1532E+003    0.1507E+001    0.3245E+002    0.8202E+001    0.4289E+002    0.2531E+000
 0.1554E+003    0.1530E+001    0.3297E+002    0.7812E+001    0.3487E+002    0.2401E+000
 0.1577E+003    0.1552E+001    0.3343E+002    0.7490E+001    0.2851E+002    0.2294E+000
 0.1600E+003    0.1575E+001    0.3384E+002    0.7223E+001    0.2347E+002    0.2206E+000
 0.1623E+003    0.1597E+001    0.3421E+002    0.7001E+001    0.1945E+002    0.2133E+000
 0.1646E+003    0.1620E+001    0.3454E+002    0.6815E+001    0.1621E+002    0.2072E+000
 0.1669E+003    0.1642E+001    0.3482E+002    0.6659E+001    0.1358E+002    0.2021E+000
 0.1692E+003    0.1665E+001    0.3508E+002    0.6527E+001    0.1143E+002    0.1978E+000
 0.1714E+003    0.1687E+001    0.3530E+002    0.6415E+001    0.9663E+001    0.1942E+000
 0.1737E+003    0.1710E+001    0.3549E+002    0.6320E+001    0.8195E+001    0.1911E+000
 0.1760E+003    0.1732E+001    0.3566E+002    0.6239E+001    0.6970E+001    0.1885E+000
 0.1783E+003    0.1755E+001    0.3581E+002    0.6170E+001    0.5943E+001    0.1863E+000
 0.1806E+003    0.1777E+001    0.3594E+002    0.6110E+001    0.5078E+001    0.1844E+000
 0.1829E+003    0.1800E+001    0.3605E+002    0.6060E+001    0.4346E+001    0.1827E+000
 0.1852E+003    0.1822E+001    0.3615E+002    0.6016E+001    0.3726E+001    0.1813E+000
 0.1874E+003    0.1845E+001    0.3623E+002    0.5979E+001    0.3198E+001    0.1801E+000
 0.1897E+003    0.1867E+001    0.3631E+002    0.5946E+001    0.2749E+001    0.1791E+000
 0.1920E+003    0.1890E+001    0.3637E+002    0.5919E+001    0.2364E+001    0.1782E+000
 0.1943E+003    0.1912E+001    0.3643E+002    0.5895E+001    0.2036E+001    0.1775E+000
 0.1966E+003    0.1935E+001    0.3647E+002    0.5874E+001    0.1754E+001    0.1768E+000
 0.1989E+003    0.1957E+001    0.3652E+002    0.5857E+001    0.1512E+001    0.1762E+000
 0.2012E+003    0.1980E+001    0.3655E+002    0.5841E+001    0.1304E+001    0.1757E+000
 0.2034E+003    0.2002E+001    0.3658E+002    0.5828E+001    0.1126E+001    0.1753E+000
 0.2057E+003    0.2025E+001    0.3661E+002    0.5817E+001    0.9717E+000    0.1750E+000
 0.2080E+003    0.2047E+001    0.3663E+002    0.5807E+001    0.8392E+000    0.1746E+000
 0.2103E+003    0.2070E+001    0.3665E+002    0.5798E+001    0.7250E+000    0.1744E+000
 0.2126E+003    0.2092E+001    0.3667E+002    0.5791E+001    0.6264E+000    0.1741E+000
 0.2149E+003    0.2115E+001    0.3669E+002    0.5785E+001    0.5414E+000    0.1739E+000
 0.2172E+003    0.2137E+001    0.3670E+002    0.5779E+001    0.4681E+000    0.1738E+000
 0.2194E+003    0.2160E+001    0.3671E+002    0.5774E+001    0.4047E+000    0.1736E+000
 0.2217E+003    0.2182E+001    0.3672E+002    0.5770E+001    0.3500E+000    0.1735E+000
 0.2240E+003    0.2205E+001    0.3673E+002    0.5767E+001    0.3027E+000    0.1734E+000
 0.2263E+003    0.2227E+001    0.3674E+002    0.5764E+001    0.2618E+000    0.1733E+000
 0.2286E+003    0.2250E+001    0.3674E+002    0.5761E+001    0.2265E+000    0.1732E+000

 THE OVERALL DRYING RATE IN DRYING SECTION  2 IS  0.2550E+003 gm/min

