CUMULATIVE LATENT POWER,Power_latent,Power_web_sensible,Power_ink_sensible,Power_total
W,W,W,W,W
SOLVENT 1
0, 0, -300.299244889755, -90.4950731546784, -390.794318044433
40.2168056910986, 40.2168056910986, -37.2371063663296, -11.178518434805, -8.19881911003611
110.59621565052, 110.59621565052, 199.398698606797, 59.4574238809894, 369.452338138306
191.029827032715, 191.029827032715, 409.007571539846, 121.017583329989, 721.05498190255
301.626042683233, 301.626042683233, 592.790709412375, 173.518727862712, 1067.93547995832
442.384862602075, 442.384862602075, 751.348710714166, 216.903466143366, 1410.63703945961
602.246665224187, 602.246665224187, 887.083969404335, 252.028640443404, 1741.35927507193
785.233131118682, 785.233131118682, 1001.19768246244, 279.2047517187, 2065.63556529982
989.333420001002, 989.333420001002, 1096.0922438476, 299.263836045871, 2384.68949989448
1212.5366915866, 1212.5366915866, 1174.77064600872, 313.238868322992, 2700.54620591831
1451.82668544863, 1451.82668544863, 1239.03468441513, 321.886532568631, 3012.74790243238
1704.18714116026, 1704.18714116026, 1290.68615453617, 325.980626482812, 3320.85392217924
1967.60721843695, 1967.60721843695, 1332.72804882073, 326.548869853345, 3626.88413711103
2241.08149713642, 2241.08149713642, 1366.96216273816, 324.235393991766, 3932.27905386635
2521.59371683182, 2521.59371683182, 1393.98909477824, 319.45196444584, 4235.0347760559
2808.13845738089, 2808.13845738089, 1415.6106404103, 312.794690499743, 4536.54378829094
3099.71029864135, 3099.71029864135, 1433.02799661391, 304.681993021805, 4837.42028827707
3395.30382047092, 3395.30382047092, 1446.84176187884, 295.37586691723, 5137.52144926699
3693.91360272732, 3693.91360272732, 1458.25313318465, 285.239917414045, 5437.40665332601
3994.53422526827, 3994.53422526827, 1467.26211053134, 274.375028800108, 5736.17136459972
4296.16026795151, 4296.16026795151, 1475.06989089848, 263.098340065313, 6034.32849891529
4599.79715091929, 4599.79715091929, 1481.67647428605, 251.397646907532, 6332.87127211287
4903.43403388708, 4903.43403388708, 1487.08186069406, 239.388734618069, 6629.90462919922
5208.07633699715, 5208.07633699715, 1492.48724710208, 227.24289559041, 6927.80647968964
5512.71864010721, 5512.71864010721, 1497.29203502032, 214.916567726303, 7224.92724285383
5817.36094321727, 5817.36094321727, 1501.49622444877, 202.425464496902, 7521.28263216295
6120.99782618506, 6120.99782618506, 1506.30101236701, 189.980118757213, 7817.27895730929
6423.62928901057, 6423.62928901057, 1511.70639877503, 177.565283772848, 8112.90097155844
6726.26075183608, 6726.26075183608, 1517.11178518304, 165.05679027724, 8408.42932729636
7026.88137437704, 7026.88137437704, 1523.71836857061, 152.662630002997, 8703.26237295065
7326.49657677571, 7326.49657677571, 1530.92555044797, 140.253828023509, 8997.67595524719
7623.09551874756, 7623.09551874756, 1539.33392930488, 127.954052295479, 9290.38350034792
7916.67820029257, 7916.67820029257, 1549.54410363113, 115.779759611581, 9582.00206353529
8207.24462141075, 8207.24462141075, 1562.1566719165, 103.728045831931, 9873.12933915919
8493.78936195982, 8493.78936195982, 1578.37283114055, 91.8575296371539, 10164.0197227375
8773.29616151295, 8773.29616151295, 1597.59198281349, 80.1929826489932, 10451.0811269754
9043.75417978558, 9043.75417978558, 1622.81711938423, 68.8946684439948, 10735.4659676138
9304.15799663544, 9304.15799663544, 1655.85003632211, 57.9533560061007, 11017.9613889636
9550.28484746496, 9550.28484746496, 1697.89193060667, 47.4616389952622, 11295.6384170669
9776.40383746315, 9776.40383746315, 1754.34818864595, 37.6836748637016, 11568.4357009728
9976.88461383328, 9976.88461383328, 1827.62120439905, 28.7685600786509, 11833.274378311
10145.5941137074, 10145.5941137074, 1922.51576578421, 20.9772091361292, 12089.0870886278
10277.5052363742, 10277.5052363742, 2042.63546374011, 14.5744242765592, 12334.7151243909
10371.4114776629, 10371.4114776629, 2186.17850279741, 9.72160825992894, 12567.3115887203
10431.4250059555, 10431.4250059555, 2348.94069352766, 6.40988461725778, 12786.7755841004
10466.0014046484, 10466.0014046484, 2523.11425556372, 4.38774774715259, 12993.5034079593
10484.4609184606, 10484.4609184606, 2699.69021155889, 3.26818937575961, 13187.4193193953
10494.2034396393, 10494.2034396393, 2872.66257661539, 2.67640190117957, 13369.5424181559
10499.7634130261, 10499.7634130261, 3039.02835828432, 2.34769285256278, 13541.139464163
10503.4030339411, 10503.4030339411, 3196.98576109633, 2.1366182371772, 13702.5254132746
10506.0673973182, 10506.0673973182, 3346.53478505143, 1.98131555386811, 13854.5834979235
10508.1787796169, 10508.1787796169, 3487.07483165983, 1.85375432106496, 13997.1073655978
10509.8980480602, 10509.8980480602, 3619.8070979011, 1.74615766703695, 14131.4513036284
10511.3357988637, 10511.3357988637, 3744.73158377524, 1.65229223582821, 14257.7196748748
