CUMULATIVE LATENT POWER,Power_latent,Power_web_sensible,Power_ink_sensible,Power_total
W,W,W,W,W
SOLVENT 1
0, 0, -300.299244889755, -90.4950731546784, -390.794318044433
160.867222764391, 160.867222764391, -273.272312849677, -81.0920559545853, -193.497146039871
331.788646951556, 331.788646951556, -254.053161176732, -74.1458028035358, 3.5896829712874
510.753432276941, 510.753432276941, -241.440592891363, -69.2278493494358, 200.084990036143
690.723637744603, 690.723637744603, -232.43161554467, -65.4472296772013, 392.844792522732
872.704683496819, 872.704683496819, -226.425630646875, -62.5765046889342, 583.70254816101
1056.69656953359, 1056.69656953359, -222.221441218418, -60.2441346315661, 774.230993683606
1241.69387571264, 1241.69387571264, -219.218448769521, -58.2690602126, 964.20636673052
1427.69660203397, 1427.69660203397, -216.816054810403, -56.4760131327587, 1154.4045340908
1613.69932835529, 1613.69932835529, -215.614857830844, -55.0150406193552, 1343.06942990509
1799.70205467662, 1799.70205467662, -214.413660851285, -53.5668601506764, 1531.72153367466
1986.71020114022, 1986.71020114022, -213.212463871726, -52.125335002564, 1721.37240226593
2173.71834760383, 2173.71834760383, -212.611865381946, -50.8402876772206, 1910.26619454466
2360.72649406743, 2360.72649406743, -212.011266892167, -49.5616709473336, 2099.15355622793
2546.72922038876, 2546.72922038876, -211.410668402387, -48.2955696774205, 2287.02298230895
2733.73736685236, 2733.73736685236, -210.810069912608, -47.029796851899, 2475.89750008786
2920.74551331597, 2920.74551331597, -210.209471422828, -45.7704546218338, 2664.7655872713
3106.74823963729, 3106.74823963729, -209.608872933049, -44.5235759921017, 2852.61579071214
3292.75096595862, 3292.75096595862, -209.008274443269, -43.2830933847322, 3040.45959813062
3478.75369227995, 3478.75369227995, -208.40767595349, -42.049006799725, 3228.29700952673
3664.75641860127, 3664.75641860127, -207.80707746371, -40.8213162370803, 3416.12802490048
3850.7591449226, 3850.7591449226, -207.206478973931, -39.6000216967979, 3603.95264425187
4036.76187124393, 4036.76187124393, -206.605880484151, -38.385123178878, 3791.7708675809
4221.75917742298, 4221.75917742298, -205.404683504592, -37.0741460331465, 3979.28034788524
4406.75648360203, 4406.75648360203, -204.804085014813, -35.8811149970873, 4166.07128359013
4591.75378978108, 4591.75378978108, -203.602888035254, -34.5924029237957, 4353.55849882203
4776.75109596012, 4776.75109596012, -203.002289545474, -33.4152755109079, 4540.33353090374
4960.7429819969, 4960.7429819969, -201.801092565915, -32.1546367898232, 4726.78725264116
5144.73486803367, 5144.73486803367, -200.599895586356, -30.906651821088, 4913.22832062622
5327.72133392816, 5327.72133392816, -199.398698606797, -29.6770597382815, 5098.64557558308
5511.71321996493, 5511.71321996493, -198.197501627238, -28.4543477011513, 5285.06137063654
5693.69426571715, 5693.69426571715, -196.395706157899, -27.172532960083, 5470.12602659917
5876.68073161164, 5876.68073161164, -195.194509178341, -25.983840847302, 5655.502381586
6057.65635722158, 6057.65635722158, -193.392713709002, -24.742061748913, 5839.52158176367
6238.63198283152, 6238.63198283152, -190.990319749884, -23.4452249985665, 6024.19643808307
6419.60760844146, 6419.60760844146, -189.188524280545, -22.243896419983, 6208.17518774093
6599.57781390912, 6599.57781390912, -186.786130321427, -20.999109462429, 6391.79257412527
6777.53717909223, 6777.53717909223, -184.383736362309, -19.7896907798845, 6573.36375195004
6955.49654427534, 6955.49654427534, -181.380743913412, -18.5433480331072, 6755.57245232882
7132.45048931617, 7132.45048931617, -177.777152974735, -17.2743771964045, 6937.39895914503
7308.39901421472, 7308.39901421472, -174.173562036058, -16.0469286454167, 7118.17852353325
7483.34211897099, 7483.34211897099, -170.569971097381, -14.8606912222992, 7297.91145665131
7656.27438344271, 7656.27438344271, -165.765183179145, -13.6214532463082, 7476.88774701726
7827.19580762988, 7827.19580762988, -160.359796771129, -12.3926390581133, 7654.44337180064
7996.10639153249, 7996.10639153249, -154.954410363113, -11.2256415617238, 7829.92633960765
8163.00613515054, 8163.00613515054, -148.347826975539, -10.0382459399622, 8004.62006223504
8327.89503848405, 8327.89503848405, -140.540046608405, -8.84652868146932, 8178.50846319417
8489.76768139071, 8489.76768139071, -132.131667751492, -7.70495969560711, 8349.93105394362
8647.61864372827, 8647.61864372827, -122.52209191502, -6.59094546554406, 8518.50560634771
8802.453345639, 8802.453345639, -111.110720609209, -5.48458917576898, 8685.85803585402
8952.26094683834, 8952.26094683834, -98.4981523238396, -4.4396001275792, 8849.32319438692
9097.04144732629, 9097.04144732629, -84.0837885691312, -3.44140576191659, 9009.51625299524
9235.78942696057, 9235.78942696057, -66.6664323655255, -2.46374781400141, 9166.65924678105
9368.5048857412, 9368.5048857412, -47.4472806925812, -1.57321406259044, 9319.48439098603
9493.1769833836, 9493.1769833836, -25.2251365707395, -0.7463639500528, 9467.20548286281
