 DISTANCE,     TIME,         TEMP,         PERCENT,      RATE,         SOLVENT REMAINING,
 cm,           sec,          deg C,        REMAINING,    gm/sqm/min,   gm/sqm,
          ,             ,             ,             ,             ,    SOLVENT 1,
 0.0000E+000,    0.0000E+000,    0.2000E+002,    0.7870E+002,    0.0000E+000,    0.1047E+002,
 0.2286E+001,    0.2250E-001,    0.2502E+002,    0.7851E+002,    0.3165E+003,    0.1035E+002,
 0.4572E+001,    0.4500E-001,    0.2892E+002,    0.7820E+002,    0.4912E+003,    0.1016E+002,
 0.6858E+001,    0.6750E-001,    0.3184E+002,    0.7778E+002,    0.6534E+003,    0.9919E+001,
 0.9144E+001,    0.9000E-001,    0.3396E+002,    0.7726E+002,    0.7913E+003,    0.9622E+001,
 0.1143E+002,    0.1125E+000,    0.3545E+002,    0.7662E+002,    0.9006E+003,    0.9285E+001,
 0.1372E+002,    0.1350E+000,    0.3649E+002,    0.7589E+002,    0.9823E+003,    0.8916E+001,
 0.1600E+002,    0.1575E+000,    0.3720E+002,    0.7506E+002,    0.1041E+004,    0.8526E+001,
 0.1829E+002,    0.1800E+000,    0.3768E+002,    0.7414E+002,    0.1081E+004,    0.8121E+001,
 0.2057E+002,    0.2025E+000,    0.3801E+002,    0.7312E+002,    0.1108E+004,    0.7705E+001,
 0.2286E+002,    0.2250E+000,    0.3824E+002,    0.7200E+002,    0.1126E+004,    0.7283E+001,
 0.2514E+002,    0.2475E+000,    0.3840E+002,    0.7076E+002,    0.1137E+004,    0.6856E+001,
 0.2743E+002,    0.2700E+000,    0.3852E+002,    0.6941E+002,    0.1144E+004,    0.6428E+001,
 0.2972E+002,    0.2925E+000,    0.3861E+002,    0.6792E+002,    0.1147E+004,    0.5997E+001,
 0.3200E+002,    0.3150E+000,    0.3869E+002,    0.6627E+002,    0.1148E+004,    0.5567E+001,
 0.3429E+002,    0.3375E+000,    0.3877E+002,    0.6445E+002,    0.1147E+004,    0.5137E+001,
 0.3657E+002,    0.3600E+000,    0.3885E+002,    0.6243E+002,    0.1145E+004,    0.4707E+001,
 0.3886E+002,    0.3825E+000,    0.3894E+002,    0.6017E+002,    0.1141E+004,    0.4279E+001,
 0.4115E+002,    0.4050E+000,    0.3905E+002,    0.5763E+002,    0.1136E+004,    0.3853E+001,
 0.4343E+002,    0.4275E+000,    0.3918E+002,    0.5477E+002,    0.1128E+004,    0.3430E+001,
 0.4572E+002,    0.4500E+000,    0.3935E+002,    0.5153E+002,    0.1118E+004,    0.3011E+001,
 0.4800E+002,    0.4725E+000,    0.3958E+002,    0.4783E+002,    0.1103E+004,    0.2598E+001,
 0.5029E+002,    0.4950E+000,    0.3988E+002,    0.4362E+002,    0.1083E+004,    0.2192E+001,
 0.5258E+002,    0.5175E+000,    0.4029E+002,    0.3881E+002,    0.1053E+004,    0.1797E+001,
 0.5486E+002,    0.5400E+000,    0.4088E+002,    0.3336E+002,    0.1010E+004,    0.1418E+001,
 0.5715E+002,    0.5625E+000,    0.4173E+002,    0.2730E+002,    0.9444E+003,    0.1064E+001,
 0.5943E+002,    0.5850E+000,    0.4297E+002,    0.2085E+002,    0.8470E+003,    0.7464E+000,
 0.6172E+002,    0.6075E+000,    0.4478E+002,    0.1452E+002,    0.7070E+003,    0.4813E+000,
 0.6400E+002,    0.6300E+000,    0.4732E+002,    0.9120E+001,    0.5253E+003,    0.2843E+000,
 0.6629E+002,    0.6525E+000,    0.5056E+002,    0.5354E+001,    0.3308E+003,    0.1603E+000,
 0.6858E+002,    0.6750E+000,    0.5424E+002,    0.3252E+001,    0.1734E+003,    0.9524E-001,
 0.7086E+002,    0.6975E+000,    0.5799E+002,    0.2240E+001,    0.8087E+002,    0.6491E-001,
 0.7315E+002,    0.7200E+000,    0.6156E+002,    0.1737E+001,    0.3958E+002,    0.5007E-001,
 0.7543E+002,    0.7425E+000,    0.6482E+002,    0.1439E+001,    0.2321E+002,    0.4137E-001,
 0.7772E+002,    0.7650E+000,    0.6777E+002,    0.1235E+001,    0.1584E+002,    0.3543E-001,
 0.8001E+002,    0.7875E+000,    0.7044E+002,    0.1084E+001,    0.1165E+002,    0.3106E-001,
 0.8229E+002,    0.8100E+000,    0.7283E+002,    0.9692E+000,    0.8891E+001,    0.2773E-001,
 0.8458E+002,    0.8325E+000,    0.7497E+002,    0.8789E+000,    0.6955E+001,    0.2512E-001,
 0.8686E+002,    0.8550E+000,    0.7690E+002,    0.8067E+000,    0.5544E+001,    0.2304E-001,
 0.8915E+002,    0.8775E+000,    0.7863E+002,    0.7482E+000,    0.4487E+001,    0.2136E-001,
 0.9144E+002,    0.9000E+000,    0.8017E+002,    0.7002E+000,    0.3678E+001,    0.1998E-001,
 0.9372E+002,    0.9225E+000,    0.8156E+002,    0.6605E+000,    0.3047E+001,    0.1883E-001,
 0.9601E+002,    0.9450E+000,    0.8280E+002,    0.6272E+000,    0.2548E+001,    0.1788E-001,
 0.9829E+002,    0.9675E+000,    0.8391E+002,    0.5991E+000,    0.2148E+001,    0.1707E-001,
 0.1006E+003,    0.9900E+000,    0.8490E+002,    0.5752E+000,    0.1823E+001,    0.1639E-001,
 0.1029E+003,    0.1012E+001,    0.8579E+002,    0.5549E+000,    0.1556E+001,    0.1581E-001,
 0.1052E+003,    0.1035E+001,    0.8659E+002,    0.5374E+000,    0.1336E+001,    0.1531E-001,
 0.1074E+003,    0.1057E+001,    0.8730E+002,    0.5223E+000,    0.1152E+001,    0.1487E-001,
 0.1097E+003,    0.1080E+001,    0.8794E+002,    0.5092E+000,    0.9973E+000,    0.1450E-001,
 0.1120E+003,    0.1102E+001,    0.8851E+002,    0.4979E+000,    0.8666E+000,    0.1417E-001,
 0.1143E+003,    0.1125E+001,    0.8902E+002,    0.4880E+000,    0.7553E+000,    0.1389E-001,
 0.1166E+003,    0.1147E+001,    0.8947E+002,    0.4793E+000,    0.6603E+000,    0.1364E-001,
 0.1189E+003,    0.1170E+001,    0.8988E+002,    0.4717E+000,    0.5786E+000,    0.1343E-001,
 0.1212E+003,    0.1192E+001,    0.9024E+002,    0.4651E+000,    0.5081E+000,    0.1324E-001,
 0.1234E+003,    0.1215E+001,    0.9057E+002,    0.4592E+000,    0.4471E+000,    0.1307E-001,
 0.1257E+003,    0.1237E+001,    0.9086E+002,    0.4540E+000,    0.3941E+000,    0.1292E-001,
 0.1280E+003,    0.1260E+001,    0.9112E+002,    0.4495E+000,    0.3479E+000,    0.1279E-001,
 0.1303E+003,    0.1282E+001,    0.9136E+002,    0.4454E+000,    0.3076E+000,    0.1267E-001,
 0.1326E+003,    0.1305E+001,    0.9157E+002,    0.4419E+000,    0.2723E+000,    0.1257E-001,
 0.1349E+003,    0.1327E+001,    0.9175E+002,    0.4387E+000,    0.2413E+000,    0.1248E-001,
 0.1372E+003,    0.1350E+001,    0.9192E+002,    0.4359E+000,    0.2140E+000,    0.1240E-001,
 0.1394E+003,    0.1372E+001,    0.9207E+002,    0.4334E+000,    0.1900E+000,    0.1233E-001,
 0.1417E+003,    0.1395E+001,    0.9220E+002,    0.4312E+000,    0.1688E+000,    0.1227E-001,
 0.1440E+003,    0.1417E+001,    0.9232E+002,    0.4292E+000,    0.1500E+000,    0.1221E-001,
 0.1463E+003,    0.1440E+001,    0.9243E+002,    0.4275E+000,    0.1335E+000,    0.1216E-001,
 0.1486E+003,    0.1462E+001,    0.9252E+002,    0.4259E+000,    0.1188E+000,    0.1212E-001,
 0.1509E+003,    0.1485E+001,    0.9261E+002,    0.4245E+000,    0.1058E+000,    0.1208E-001,
 0.1532E+003,    0.1507E+001,    0.9268E+002,    0.4233E+000,    0.9425E-001,    0.1204E-001,
 0.1554E+003,    0.1530E+001,    0.9275E+002,    0.4222E+000,    0.8400E-001,    0.1201E-001,
 0.1577E+003,    0.1552E+001,    0.9281E+002,    0.4212E+000,    0.7489E-001,    0.1198E-001,
 0.1600E+003,    0.1575E+001,    0.9287E+002,    0.4203E+000,    0.6679E-001,    0.1196E-001,
 0.1623E+003,    0.1597E+001,    0.9292E+002,    0.4195E+000,    0.5959E-001,    0.1193E-001,
 0.1646E+003,    0.1620E+001,    0.9296E+002,    0.4188E+000,    0.5317E-001,    0.1191E-001,
 0.1669E+003,    0.1642E+001,    0.9300E+002,    0.4182E+000,    0.4745E-001,    0.1190E-001,
 0.1692E+003,    0.1665E+001,    0.9304E+002,    0.4176E+000,    0.4236E-001,    0.1188E-001,
 0.1714E+003,    0.1687E+001,    0.9307E+002,    0.4172E+000,    0.3782E-001,    0.1187E-001,
 0.1737E+003,    0.1710E+001,    0.9309E+002,    0.4167E+000,    0.3377E-001,    0.1185E-001,
 0.1760E+003,    0.1732E+001,    0.9312E+002,    0.4163E+000,    0.3016E-001,    0.1184E-001,
 0.1783E+003,    0.1755E+001,    0.9314E+002,    0.4160E+000,    0.2694E-001,    0.1183E-001,
 0.1806E+003,    0.1777E+001,    0.9316E+002,    0.4156E+000,    0.2407E-001,    0.1182E-001,
 0.1829E+003,    0.1800E+001,    0.9318E+002,    0.4154E+000,    0.2150E-001,    0.1182E-001,
 0.1852E+003,    0.1822E+001,    0.9320E+002,    0.4151E+000,    0.1921E-001,    0.1181E-001,
 0.1874E+003,    0.1845E+001,    0.9321E+002,    0.4149E+000,    0.1717E-001,    0.1180E-001,
 0.1897E+003,    0.1867E+001,    0.9322E+002,    0.4147E+000,    0.1534E-001,    0.1180E-001,
 0.1920E+003,    0.1890E+001,    0.9323E+002,    0.4145E+000,    0.1371E-001,    0.1179E-001,
 0.1943E+003,    0.1912E+001,    0.9324E+002,    0.4143E+000,    0.1226E-001,    0.1179E-001,
 0.1966E+003,    0.1935E+001,    0.9325E+002,    0.4142E+000,    0.1095E-001,    0.1178E-001,
 0.1989E+003,    0.1957E+001,    0.9326E+002,    0.4141E+000,    0.9791E-002,    0.1178E-001,
 0.2012E+003,    0.1980E+001,    0.9327E+002,    0.4140E+000,    0.8752E-002,    0.1178E-001,
 0.2034E+003,    0.2002E+001,    0.9327E+002,    0.4139E+000,    0.7823E-002,    0.1177E-001,
 0.2057E+003,    0.2025E+001,    0.9328E+002,    0.4138E+000,    0.6993E-002,    0.1177E-001,
 0.2080E+003,    0.2047E+001,    0.9329E+002,    0.4137E+000,    0.6252E-002,    0.1177E-001,
 0.2103E+003,    0.2070E+001,    0.9329E+002,    0.4136E+000,    0.5589E-002,    0.1177E-001,
 0.2126E+003,    0.2092E+001,    0.9329E+002,    0.4135E+000,    0.4997E-002,    0.1176E-001,
 0.2149E+003,    0.2115E+001,    0.9330E+002,    0.4135E+000,    0.4467E-002,    0.1176E-001,
 0.2172E+003,    0.2137E+001,    0.9330E+002,    0.4134E+000,    0.3994E-002,    0.1176E-001,
 0.2194E+003,    0.2160E+001,    0.9330E+002,    0.4134E+000,    0.3571E-002,    0.1176E-001,
 0.2217E+003,    0.2182E+001,    0.9331E+002,    0.4133E+000,    0.3192E-002,    0.1176E-001,
 0.2240E+003,    0.2205E+001,    0.9331E+002,    0.4133E+000,    0.2854E-002,    0.1176E-001,
 0.2263E+003,    0.2227E+001,    0.9331E+002,    0.4133E+000,    0.2552E-002,    0.1176E-001,
 0.2286E+003,    0.2250E+001,    0.9331E+002,    0.4132E+000,    0.2282E-002,    0.1176E-001,
