 DISTANCE,     TIME,         TEMP,         PERCENT,      RATE,         SOLVENT REMAINING,
 cm,           sec,          deg C,        REMAINING,    gm/sqm/min,   gm/sqm,
          ,             ,             ,             ,             ,    SOLVENT 1,
 0.0000E+000,    0.0000E+000,    0.2000E+002,    0.7870E+002,    0.0000E+000,    0.1047E+002,
 0.2286E+001,    0.2250E-001,    0.2318E+002,    0.7863E+002,    0.1112E+003,    0.1043E+002,
 0.4572E+001,    0.4500E-001,    0.2603E+002,    0.7854E+002,    0.1540E+003,    0.1037E+002,
 0.6858E+001,    0.6750E-001,    0.2856E+002,    0.7842E+002,    0.1982E+003,    0.1029E+002,
 0.9144E+001,    0.9000E-001,    0.3078E+002,    0.7827E+002,    0.2426E+003,    0.1020E+002,
 0.1143E+002,    0.1125E+000,    0.3272E+002,    0.7809E+002,    0.2860E+003,    0.1010E+002,
 0.1372E+002,    0.1350E+000,    0.3439E+002,    0.7788E+002,    0.3274E+003,    0.9972E+001,
 0.1600E+002,    0.1575E+000,    0.3583E+002,    0.7764E+002,    0.3659E+003,    0.9835E+001,
 0.1829E+002,    0.1800E+000,    0.3705E+002,    0.7737E+002,    0.4010E+003,    0.9685E+001,
 0.2057E+002,    0.2025E+000,    0.3808E+002,    0.7707E+002,    0.4326E+003,    0.9523E+001,
 0.2286E+002,    0.2250E+000,    0.3894E+002,    0.7675E+002,    0.4603E+003,    0.9350E+001,
 0.2514E+002,    0.2475E+000,    0.3966E+002,    0.7639E+002,    0.4845E+003,    0.9168E+001,
 0.2743E+002,    0.2700E+000,    0.4026E+002,    0.7602E+002,    0.5052E+003,    0.8979E+001,
 0.2972E+002,    0.2925E+000,    0.4076E+002,    0.7561E+002,    0.5228E+003,    0.8783E+001,
 0.3200E+002,    0.3150E+000,    0.4117E+002,    0.7518E+002,    0.5376E+003,    0.8581E+001,
 0.3429E+002,    0.3375E+000,    0.4151E+002,    0.7472E+002,    0.5499E+003,    0.8375E+001,
 0.3657E+002,    0.3600E+000,    0.4179E+002,    0.7424E+002,    0.5601E+003,    0.8165E+001,
 0.3886E+002,    0.3825E+000,    0.4202E+002,    0.7373E+002,    0.5685E+003,    0.7952E+001,
 0.4115E+002,    0.4050E+000,    0.4221E+002,    0.7320E+002,    0.5753E+003,    0.7736E+001,
 0.4343E+002,    0.4275E+000,    0.4237E+002,    0.7263E+002,    0.5808E+003,    0.7518E+001,
 0.4572E+002,    0.4500E+000,    0.4250E+002,    0.7204E+002,    0.5852E+003,    0.7299E+001,
 0.4800E+002,    0.4725E+000,    0.4261E+002,    0.7142E+002,    0.5887E+003,    0.7078E+001,
 0.5029E+002,    0.4950E+000,    0.4270E+002,    0.7076E+002,    0.5914E+003,    0.6856E+001,
 0.5258E+002,    0.5175E+000,    0.4278E+002,    0.7008E+002,    0.5935E+003,    0.6634E+001,
 0.5486E+002,    0.5400E+000,    0.4285E+002,    0.6935E+002,    0.5950E+003,    0.6411E+001,
 0.5715E+002,    0.5625E+000,    0.4291E+002,    0.6859E+002,    0.5961E+003,    0.6187E+001,
 0.5943E+002,    0.5850E+000,    0.4296E+002,    0.6779E+002,    0.5969E+003,    0.5963E+001,
 0.6172E+002,    0.6075E+000,    0.4301E+002,    0.6695E+002,    0.5973E+003,    0.5739E+001,
 0.6400E+002,    0.6300E+000,    0.4305E+002,    0.6607E+002,    0.5974E+003,    0.5515E+001,
 0.6629E+002,    0.6525E+000,    0.4310E+002,    0.6513E+002,    0.5972E+003,    0.5291E+001,
 0.6858E+002,    0.6750E+000,    0.4314E+002,    0.6414E+002,    0.5968E+003,    0.5068E+001,
 0.7086E+002,    0.6975E+000,    0.4319E+002,    0.6310E+002,    0.5962E+003,    0.4844E+001,
 0.7315E+002,    0.7200E+000,    0.4323E+002,    0.6199E+002,    0.5954E+003,    0.4621E+001,
 0.7543E+002,    0.7425E+000,    0.4328E+002,    0.6082E+002,    0.5943E+003,    0.4398E+001,
 0.7772E+002,    0.7650E+000,    0.4333E+002,    0.5958E+002,    0.5930E+003,    0.4176E+001,
 0.8001E+002,    0.7875E+000,    0.4339E+002,    0.5826E+002,    0.5914E+003,    0.3954E+001,
 0.8229E+002,    0.8100E+000,    0.4345E+002,    0.5685E+002,    0.5895E+003,    0.3733E+001,
 0.8458E+002,    0.8325E+000,    0.4352E+002,    0.5536E+002,    0.5873E+003,    0.3513E+001,
 0.8686E+002,    0.8550E+000,    0.4360E+002,    0.5376E+002,    0.5847E+003,    0.3293E+001,
 0.8915E+002,    0.8775E+000,    0.4369E+002,    0.5205E+002,    0.5815E+003,    0.3075E+001,
 0.9144E+002,    0.9000E+000,    0.4379E+002,    0.5023E+002,    0.5778E+003,    0.2859E+001,
 0.9372E+002,    0.9225E+000,    0.4391E+002,    0.4827E+002,    0.5734E+003,    0.2643E+001,
 0.9601E+002,    0.9450E+000,    0.4405E+002,    0.4618E+002,    0.5681E+003,    0.2430E+001,
 0.9829E+002,    0.9675E+000,    0.4421E+002,    0.4393E+002,    0.5618E+003,    0.2220E+001,
 0.1006E+003,    0.9900E+000,    0.4440E+002,    0.4153E+002,    0.5541E+003,    0.2012E+001,
 0.1029E+003,    0.1012E+001,    0.4462E+002,    0.3895E+002,    0.5447E+003,    0.1808E+001,
 0.1052E+003,    0.1035E+001,    0.4489E+002,    0.3621E+002,    0.5333E+003,    0.1608E+001,
 0.1074E+003,    0.1057E+001,    0.4522E+002,    0.3328E+002,    0.5192E+003,    0.1413E+001,
 0.1097E+003,    0.1080E+001,    0.4561E+002,    0.3019E+002,    0.5018E+003,    0.1225E+001,
 0.1120E+003,    0.1102E+001,    0.4609E+002,    0.2694E+002,    0.4803E+003,    0.1045E+001,
 0.1143E+003,    0.1125E+001,    0.4667E+002,    0.2359E+002,    0.4539E+003,    0.8747E+000,
 0.1166E+003,    0.1147E+001,    0.4738E+002,    0.2019E+002,    0.4217E+003,    0.7165E+000,
 0.1189E+003,    0.1170E+001,    0.4825E+002,    0.1682E+002,    0.3830E+003,    0.5729E+000,
 0.1212E+003,    0.1192E+001,    0.4929E+002,    0.1361E+002,    0.3379E+003,    0.4462E+000,
 0.1234E+003,    0.1215E+001,    0.5053E+002,    0.1067E+002,    0.2874E+003,    0.3384E+000,
 0.1257E+003,    0.1237E+001,    0.5197E+002,    0.8132E+001,    0.2338E+003,    0.2508E+000,
 0.1280E+003,    0.1260E+001,    0.5359E+002,    0.6068E+001,    0.1807E+003,    0.1830E+000,
 0.1303E+003,    0.1282E+001,    0.5536E+002,    0.4496E+001,    0.1323E+003,    0.1334E+000,
 0.1326E+003,    0.1305E+001,    0.5723E+002,    0.3372E+001,    0.9202E+002,    0.9887E-001,
 0.1349E+003,    0.1327E+001,    0.5915E+002,    0.2608E+001,    0.6135E+002,    0.7586E-001,
 0.1372E+003,    0.1350E+001,    0.6105E+002,    0.2104E+001,    0.3997E+002,    0.6087E-001,
 0.1394E+003,    0.1372E+001,    0.6291E+002,    0.1771E+001,    0.2614E+002,    0.5107E-001,
 0.1417E+003,    0.1395E+001,    0.6469E+002,    0.1545E+001,    0.1768E+002,    0.4444E-001,
 0.1440E+003,    0.1417E+001,    0.6640E+002,    0.1382E+001,    0.1264E+002,    0.3970E-001,
 0.1463E+003,    0.1440E+001,    0.6801E+002,    0.1258E+001,    0.9596E+001,    0.3610E-001,
 0.1486E+003,    0.1462E+001,    0.6953E+002,    0.1159E+001,    0.7660E+001,    0.3323E-001,
 0.1509E+003,    0.1485E+001,    0.7097E+002,    0.1077E+001,    0.6334E+001,    0.3086E-001,
 0.1532E+003,    0.1507E+001,    0.7232E+002,    0.1008E+001,    0.5359E+001,    0.2885E-001,
 0.1554E+003,    0.1530E+001,    0.7360E+002,    0.9483E+000,    0.4601E+001,    0.2712E-001,
 0.1577E+003,    0.1552E+001,    0.7479E+002,    0.8964E+000,    0.3991E+001,    0.2562E-001,
 0.1600E+003,    0.1575E+001,    0.7592E+002,    0.8510E+000,    0.3488E+001,    0.2432E-001,
 0.1623E+003,    0.1597E+001,    0.7698E+002,    0.8111E+000,    0.3069E+001,    0.2317E-001,
 0.1646E+003,    0.1620E+001,    0.7797E+002,    0.7757E+000,    0.2714E+001,    0.2215E-001,
 0.1669E+003,    0.1642E+001,    0.7891E+002,    0.7443E+000,    0.2412E+001,    0.2124E-001,
 0.1692E+003,    0.1665E+001,    0.7979E+002,    0.7162E+000,    0.2152E+001,    0.2044E-001,
 0.1714E+003,    0.1687E+001,    0.8061E+002,    0.6911E+000,    0.1928E+001,    0.1971E-001,
 0.1737E+003,    0.1710E+001,    0.8139E+002,    0.6684E+000,    0.1733E+001,    0.1906E-001,
 0.1760E+003,    0.1732E+001,    0.8212E+002,    0.6480E+000,    0.1563E+001,    0.1848E-001,
 0.1783E+003,    0.1755E+001,    0.8280E+002,    0.6295E+000,    0.1413E+001,    0.1795E-001,
 0.1806E+003,    0.1777E+001,    0.8345E+002,    0.6128E+000,    0.1282E+001,    0.1747E-001,
 0.1829E+003,    0.1800E+001,    0.8405E+002,    0.5975E+000,    0.1165E+001,    0.1703E-001,
 0.1852E+003,    0.1822E+001,    0.8462E+002,    0.5837E+000,    0.1061E+001,    0.1663E-001,
 0.1874E+003,    0.1845E+001,    0.8515E+002,    0.5710E+000,    0.9686E+000,    0.1627E-001,
 0.1897E+003,    0.1867E+001,    0.8565E+002,    0.5594E+000,    0.8858E+000,    0.1594E-001,
 0.1920E+003,    0.1890E+001,    0.8612E+002,    0.5488E+000,    0.8115E+000,    0.1563E-001,
 0.1943E+003,    0.1912E+001,    0.8656E+002,    0.5390E+000,    0.7446E+000,    0.1535E-001,
 0.1966E+003,    0.1935E+001,    0.8698E+002,    0.5301E+000,    0.6843E+000,    0.1510E-001,
 0.1989E+003,    0.1957E+001,    0.8737E+002,    0.5218E+000,    0.6297E+000,    0.1486E-001,
 0.2012E+003,    0.1980E+001,    0.8773E+002,    0.5142E+000,    0.5803E+000,    0.1464E-001,
 0.2034E+003,    0.2002E+001,    0.8807E+002,    0.5072E+000,    0.5353E+000,    0.1444E-001,
 0.2057E+003,    0.2025E+001,    0.8840E+002,    0.5007E+000,    0.4944E+000,    0.1426E-001,
 0.2080E+003,    0.2047E+001,    0.8870E+002,    0.4947E+000,    0.4571E+000,    0.1408E-001,
 0.2103E+003,    0.2070E+001,    0.8898E+002,    0.4892E+000,    0.4231E+000,    0.1393E-001,
 0.2126E+003,    0.2092E+001,    0.8925E+002,    0.4840E+000,    0.3919E+000,    0.1378E-001,
 0.2149E+003,    0.2115E+001,    0.8950E+002,    0.4793E+000,    0.3633E+000,    0.1364E-001,
 0.2172E+003,    0.2137E+001,    0.8973E+002,    0.4749E+000,    0.3371E+000,    0.1352E-001,
 0.2194E+003,    0.2160E+001,    0.8995E+002,    0.4708E+000,    0.3130E+000,    0.1340E-001,
 0.2217E+003,    0.2182E+001,    0.9016E+002,    0.4670E+000,    0.2908E+000,    0.1329E-001,
 0.2240E+003,    0.2205E+001,    0.9036E+002,    0.4634E+000,    0.2704E+000,    0.1319E-001,
 0.2263E+003,    0.2227E+001,    0.9054E+002,    0.4601E+000,    0.2515E+000,    0.1309E-001,
 0.2286E+003,    0.2250E+001,    0.9071E+002,    0.4570E+000,    0.2341E+000,    0.1301E-001,
