CUMULATIVE LATENT POWER,Power_latent,Power_web_sensible,Power_ink_sensible,Power_total
W,W,W,W,W
SOLVENT 1
0, 0, -300.299244889755, -90.4950731546784, -390.794318044433
170.921424187165, 170.921424187165, 52.8526671005968, 15.6685261332188, 239.44261742098
432.330661179301, 432.330661179301, 305.70463129777, 88.3404779458915, 826.375770422963
789.254811687791, 789.254811687791, 477.47579937471, 133.099064543445, 1399.82967560595
1209.52043115976, 1209.52043115976, 589.187118473699, 157.150736181249, 1955.85828581471
1677.04079731877, 1677.04079731877, 659.457141777901, 167.06749226942, 2503.56543136609
2174.72376774611, 2174.72376774611, 703.300831531805, 168.154833357577, 3046.17943263549
2690.50430073443, 2690.50430073443, 730.327763571883, 163.833317632045, 3584.66538193836
3218.34987543009, 3218.34987543009, 747.144521285709, 156.315951543673, 4121.81034825947
3751.22255083713, 3751.22255083713, 757.955294101741, 147.015478139942, 4656.19332307882
4288.11690681329, 4288.11690681329, 765.763074468874, 136.760355182253, 5190.64033646441
4826.01668293172, 4826.01668293172, 771.769059366669, 125.94891657141, 5723.7346588698
5363.91645905015, 5363.91645905015, 777.775044264465, 114.952511908464, 6256.64401522308
5899.80539488403, 5899.80539488403, 783.781029162259, 103.816259080892, 6787.40268312718
6433.68349043335, 6433.68349043335, 790.988211039614, 92.681942346575, 7317.35364381954
6963.53990541356, 6963.53990541356, 799.997188386306, 81.6030117086075, 7845.14010550847
7487.3637995401, 7487.3637995401, 812.609756671676, 70.7040340241337, 8370.67759023591
8003.14433252843, 8003.14433252843, 829.426514385502, 59.9205304731219, 8892.49137738706
8506.85982380943, 8506.85982380943, 854.651650956241, 49.4189013562763, 9410.93037612195
8988.45607196033, 8988.45607196033, 892.489355812351, 39.3023473587419, 9920.24777513142
9436.87345541606, 9436.87345541606, 952.549204790302, 29.7194463513427, 10419.1421065577
9829.28893694695, 9829.28893694695, 1048.04436466524, 20.9254774158001, 10898.258779028
10135.238286242, 10135.238286242, 1199.99578257946, 13.4492999827871, 11348.6833688042
10330.1892518296, 10330.1892518296, 1420.41542832854, 7.99256462007912, 11758.5972447782
10424.8998292321, 10424.8998292321, 1691.2853472191, 4.93117420518855, 12121.1163506564
10462.5829761647, 10462.5829761647, 1971.76484194613, 3.62189563555793, 12437.9697137463
10478.8607282681, 10478.8607282681, 2233.02518500022, 3.06124589935827, 12714.9471591677
10488.0502683686, 10488.0502683686, 2466.65799752444, 2.73263019809488, 12957.4408960911
10494.1632228336, 10494.1632228336, 2672.66327951882, 2.49314358704812, 13169.3196459395
10498.5166920497, 10498.5166920497, 2852.84282645267, 2.30567962891519, 13353.6651981312
10501.7239823035, 10501.7239823035, 3011.40082775446, 2.15733443501265, 13515.282144493
10504.1671532493, 10504.1671532493, 3150.13907889353, 2.03640190149353, 13656.3426340443
10506.0673973182, 10506.0673973182, 3271.45997382899, 1.93686752008607, 13779.4642386672
10507.5654733302, 10507.5654733302, 3377.16530803018, 1.85461899414217, 13886.5854003545
10508.7619232995, 10508.7619232995, 3469.65747545622, 1.78657378661409, 13980.2059725423
10509.7371808375, 10509.7371808375, 3550.73827157646, 1.72919126696057, 14062.2046436809
10510.5415169513, 10510.5415169513, 3621.00829488066, 1.68003593358526, 14133.2298477655
10511.1950400438, 10511.1950400438, 3682.86993932795, 1.63983710590297, 14195.7048164776
10511.748021122, 10511.748021122, 3736.32320491833, 1.60449095767358, 14249.675716998
10512.2105143875, 10512.2105143875, 3783.16988712113, 1.57451988834519, 14296.954921397
10512.5925740415, 10512.5925740415, 3824.61118291592, 1.54993668996252, 14338.7536936474
10512.9243626885, 10512.9243626885, 3860.04649381291, 1.52763375998479, 14374.4984902614
10513.2058803283, 10513.2058803283, 3891.27761528144, 1.5086337705281, 14405.9921293803
10513.4371269611, 10513.4371269611, 3918.30454732152, 1.49317320155439, 14433.2348474841
10513.6482651909, 10513.6482651909, 3942.3284869127, 1.4784996890622, 14457.4552517927
10513.8191866151, 10513.8191866151, 3962.7488355652, 1.46676834685672, 14478.0347905272
10513.9699996365, 10513.9699996365, 3980.76679025859, 1.45625121170729, 14496.1930411068
10514.100704255, 10514.100704255, 3996.38235099286, 1.44701051518282, 14511.930065763
10514.2113004706, 10514.2113004706, 4010.19611625778, 1.4393157545499, 14525.8467324829
10514.3017882834, 10514.3017882834, 4022.20808605337, 1.43320789892474, 14537.9430822357
10514.3922760962, 10514.3922760962, 4032.41826037963, 1.4264004567455, 14548.2369369326
10514.4626555062, 10514.4626555062, 4042.0278362161, 1.42165599107634, 14557.9121477134
10514.5229807147, 10514.5229807147, 4049.83561658323, 1.41740834076582, 14565.7760056387
10514.5732517218, 10514.5732517218, 4056.44219997081, 1.41388292238585, 14572.429334615
