 DISTANCE,     TIME,         TEMP,         PERCENT,      RATE,         SOLVENT REMAINING,
 cm,           sec,          deg C,        REMAINING,    gm/sqm/min,   gm/sqm,
          ,             ,             ,             ,             ,    SOLVENT 1,
 0.0000E+000,    0.0000E+000,    0.2000E+002,    0.7870E+002,    0.0000E+000,    0.1047E+002,
 0.2286E+001,    0.2250E-001,    0.2124E+002,    0.7859E+002,    0.1790E+003,    0.1040E+002,
 0.4572E+001,    0.4500E-001,    0.2229E+002,    0.7847E+002,    0.2056E+003,    0.1032E+002,
 0.6858E+001,    0.6750E-001,    0.2317E+002,    0.7832E+002,    0.2293E+003,    0.1024E+002,
 0.9144E+001,    0.9000E-001,    0.2391E+002,    0.7817E+002,    0.2502E+003,    0.1014E+002,
 0.1143E+002,    0.1125E+000,    0.2453E+002,    0.7800E+002,    0.2683E+003,    0.1004E+002,
 0.1372E+002,    0.1350E+000,    0.2504E+002,    0.7781E+002,    0.2838E+003,    0.9936E+001,
 0.1600E+002,    0.1575E+000,    0.2546E+002,    0.7762E+002,    0.2970E+003,    0.9825E+001,
 0.1829E+002,    0.1800E+000,    0.2581E+002,    0.7741E+002,    0.3081E+003,    0.9709E+001,
 0.2057E+002,    0.2025E+000,    0.2610E+002,    0.7720E+002,    0.3174E+003,    0.9590E+001,
 0.2286E+002,    0.2250E+000,    0.2634E+002,    0.7697E+002,    0.3252E+003,    0.9468E+001,
 0.2514E+002,    0.2475E+000,    0.2653E+002,    0.7674E+002,    0.3316E+003,    0.9344E+001,
 0.2743E+002,    0.2700E+000,    0.2669E+002,    0.7649E+002,    0.3369E+003,    0.9217E+001,
 0.2972E+002,    0.2925E+000,    0.2683E+002,    0.7624E+002,    0.3412E+003,    0.9090E+001,
 0.3200E+002,    0.3150E+000,    0.2694E+002,    0.7598E+002,    0.3448E+003,    0.8960E+001,
 0.3429E+002,    0.3375E+000,    0.2702E+002,    0.7571E+002,    0.3476E+003,    0.8830E+001,
 0.3657E+002,    0.3600E+000,    0.2710E+002,    0.7543E+002,    0.3500E+003,    0.8699E+001,
 0.3886E+002,    0.3825E+000,    0.2716E+002,    0.7515E+002,    0.3518E+003,    0.8567E+001,
 0.4115E+002,    0.4050E+000,    0.2721E+002,    0.7486E+002,    0.3533E+003,    0.8434E+001,
 0.4343E+002,    0.4275E+000,    0.2725E+002,    0.7456E+002,    0.3545E+003,    0.8301E+001,
 0.4572E+002,    0.4500E+000,    0.2728E+002,    0.7425E+002,    0.3555E+003,    0.8168E+001,
 0.4800E+002,    0.4725E+000,    0.2731E+002,    0.7393E+002,    0.3562E+003,    0.8034E+001,
 0.5029E+002,    0.4950E+000,    0.2734E+002,    0.7361E+002,    0.3568E+003,    0.7901E+001,
 0.5258E+002,    0.5175E+000,    0.2736E+002,    0.7327E+002,    0.3572E+003,    0.7767E+001,
 0.5486E+002,    0.5400E+000,    0.2738E+002,    0.7293E+002,    0.3575E+003,    0.7633E+001,
 0.5715E+002,    0.5625E+000,    0.2740E+002,    0.7258E+002,    0.3577E+003,    0.7499E+001,
 0.5943E+002,    0.5850E+000,    0.2741E+002,    0.7222E+002,    0.3579E+003,    0.7364E+001,
 0.6172E+002,    0.6075E+000,    0.2742E+002,    0.7185E+002,    0.3579E+003,    0.7230E+001,
 0.6400E+002,    0.6300E+000,    0.2744E+002,    0.7147E+002,    0.3579E+003,    0.7096E+001,
 0.6629E+002,    0.6525E+000,    0.2745E+002,    0.7108E+002,    0.3579E+003,    0.6962E+001,
 0.6858E+002,    0.6750E+000,    0.2746E+002,    0.7068E+002,    0.3578E+003,    0.6828E+001,
 0.7086E+002,    0.6975E+000,    0.2747E+002,    0.7026E+002,    0.3577E+003,    0.6693E+001,
 0.7315E+002,    0.7200E+000,    0.2748E+002,    0.6984E+002,    0.3576E+003,    0.6559E+001,
 0.7543E+002,    0.7425E+000,    0.2749E+002,    0.6940E+002,    0.3574E+003,    0.6425E+001,
 0.7772E+002,    0.7650E+000,    0.2750E+002,    0.6895E+002,    0.3572E+003,    0.6291E+001,
 0.8001E+002,    0.7875E+000,    0.2751E+002,    0.6849E+002,    0.3570E+003,    0.6158E+001,
 0.8229E+002,    0.8100E+000,    0.2753E+002,    0.6801E+002,    0.3567E+003,    0.6024E+001,
 0.8458E+002,    0.8325E+000,    0.2754E+002,    0.6752E+002,    0.3564E+003,    0.5890E+001,
 0.8686E+002,    0.8550E+000,    0.2755E+002,    0.6702E+002,    0.3561E+003,    0.5757E+001,
 0.8915E+002,    0.8775E+000,    0.2756E+002,    0.6650E+002,    0.3558E+003,    0.5623E+001,
 0.9144E+002,    0.9000E+000,    0.2758E+002,    0.6596E+002,    0.3554E+003,    0.5490E+001,
 0.9372E+002,    0.9225E+000,    0.2759E+002,    0.6541E+002,    0.3551E+003,    0.5357E+001,
 0.9601E+002,    0.9450E+000,    0.2761E+002,    0.6484E+002,    0.3547E+003,    0.5224E+001,
 0.9829E+002,    0.9675E+000,    0.2762E+002,    0.6425E+002,    0.3542E+003,    0.5091E+001,
 0.1006E+003,    0.9900E+000,    0.2764E+002,    0.6364E+002,    0.3537E+003,    0.4958E+001,
 0.1029E+003,    0.1012E+001,    0.2766E+002,    0.6301E+002,    0.3532E+003,    0.4826E+001,
 0.1052E+003,    0.1035E+001,    0.2768E+002,    0.6236E+002,    0.3527E+003,    0.4694E+001,
 0.1074E+003,    0.1057E+001,    0.2770E+002,    0.6169E+002,    0.3521E+003,    0.4562E+001,
 0.1097E+003,    0.1080E+001,    0.2772E+002,    0.6099E+002,    0.3515E+003,    0.4430E+001,
 0.1120E+003,    0.1102E+001,    0.2774E+002,    0.6027E+002,    0.3508E+003,    0.4298E+001,
 0.1143E+003,    0.1125E+001,    0.2777E+002,    0.5953E+002,    0.3500E+003,    0.4167E+001,
 0.1166E+003,    0.1147E+001,    0.2780E+002,    0.5876E+002,    0.3492E+003,    0.4036E+001,
 0.1189E+003,    0.1170E+001,    0.2783E+002,    0.5796E+002,    0.3484E+003,    0.3905E+001,
 0.1212E+003,    0.1192E+001,    0.2786E+002,    0.5713E+002,    0.3474E+003,    0.3775E+001,
 0.1234E+003,    0.1215E+001,    0.2789E+002,    0.5627E+002,    0.3464E+003,    0.3645E+001,
 0.1257E+003,    0.1237E+001,    0.2793E+002,    0.5538E+002,    0.3453E+003,    0.3516E+001,
 0.1280E+003,    0.1260E+001,    0.2797E+002,    0.5445E+002,    0.3441E+003,    0.3387E+001,
 0.1303E+003,    0.1282E+001,    0.2801E+002,    0.5349E+002,    0.3427E+003,    0.3258E+001,
 0.1326E+003,    0.1305E+001,    0.2806E+002,    0.5249E+002,    0.3413E+003,    0.3130E+001,
 0.1349E+003,    0.1327E+001,    0.2811E+002,    0.5146E+002,    0.3397E+003,    0.3003E+001,
 0.1372E+003,    0.1350E+001,    0.2816E+002,    0.5038E+002,    0.3379E+003,    0.2876E+001,
 0.1394E+003,    0.1372E+001,    0.2822E+002,    0.4926E+002,    0.3360E+003,    0.2750E+001,
 0.1417E+003,    0.1395E+001,    0.2829E+002,    0.4810E+002,    0.3338E+003,    0.2625E+001,
 0.1440E+003,    0.1417E+001,    0.2836E+002,    0.4689E+002,    0.3315E+003,    0.2501E+001,
 0.1463E+003,    0.1440E+001,    0.2844E+002,    0.4563E+002,    0.3288E+003,    0.2377E+001,
 0.1486E+003,    0.1462E+001,    0.2853E+002,    0.4432E+002,    0.3259E+003,    0.2255E+001,
 0.1509E+003,    0.1485E+001,    0.2862E+002,    0.4297E+002,    0.3227E+003,    0.2134E+001,
 0.1532E+003,    0.1507E+001,    0.2873E+002,    0.4156E+002,    0.3191E+003,    0.2015E+001,
 0.1554E+003,    0.1530E+001,    0.2885E+002,    0.4010E+002,    0.3151E+003,    0.1896E+001,
 0.1577E+003,    0.1552E+001,    0.2898E+002,    0.3859E+002,    0.3106E+003,    0.1780E+001,
 0.1600E+003,    0.1575E+001,    0.2912E+002,    0.3702E+002,    0.3056E+003,    0.1665E+001,
 0.1623E+003,    0.1597E+001,    0.2928E+002,    0.3541E+002,    0.3000E+003,    0.1553E+001,
 0.1646E+003,    0.1620E+001,    0.2946E+002,    0.3374E+002,    0.2938E+003,    0.1443E+001,
 0.1669E+003,    0.1642E+001,    0.2966E+002,    0.3203E+002,    0.2868E+003,    0.1335E+001,
 0.1692E+003,    0.1665E+001,    0.2988E+002,    0.3028E+002,    0.2789E+003,    0.1231E+001,
 0.1714E+003,    0.1687E+001,    0.3013E+002,    0.2850E+002,    0.2702E+003,    0.1129E+001,
 0.1737E+003,    0.1710E+001,    0.3040E+002,    0.2669E+002,    0.2605E+003,    0.1031E+001,
 0.1760E+003,    0.1732E+001,    0.3071E+002,    0.2487E+002,    0.2498E+003,    0.9378E+000,
 0.1783E+003,    0.1755E+001,    0.3105E+002,    0.2305E+002,    0.2380E+003,    0.8486E+000,
 0.1806E+003,    0.1777E+001,    0.3143E+002,    0.2124E+002,    0.2251E+003,    0.7642E+000,
 0.1829E+003,    0.1800E+001,    0.3184E+002,    0.1947E+002,    0.2111E+003,    0.6850E+000,
 0.1852E+003,    0.1822E+001,    0.3230E+002,    0.1775E+002,    0.1962E+003,    0.6115E+000,
 0.1874E+003,    0.1845E+001,    0.3280E+002,    0.1610E+002,    0.1804E+003,    0.5438E+000,
 0.1897E+003,    0.1867E+001,    0.3334E+002,    0.1455E+002,    0.1641E+003,    0.4823E+000,
 0.1920E+003,    0.1890E+001,    0.3392E+002,    0.1310E+002,    0.1474E+003,    0.4270E+000,
 0.1943E+003,    0.1912E+001,    0.3454E+002,    0.1177E+002,    0.1307E+003,    0.3780E+000,
 0.1966E+003,    0.1935E+001,    0.3518E+002,    0.1058E+002,    0.1145E+003,    0.3351E+000,
 0.1989E+003,    0.1957E+001,    0.3586E+002,    0.9516E+001,    0.9905E+002,    0.2979E+000,
 0.2012E+003,    0.1980E+001,    0.3655E+002,    0.8588E+001,    0.8469E+002,    0.2662E+000,
 0.2034E+003,    0.2002E+001,    0.3724E+002,    0.7789E+001,    0.7167E+002,    0.2393E+000,
 0.2057E+003,    0.2025E+001,    0.3794E+002,    0.7107E+001,    0.6016E+002,    0.2167E+000,
 0.2080E+003,    0.2047E+001,    0.3863E+002,    0.6530E+001,    0.5020E+002,    0.1979E+000,
 0.2103E+003,    0.2070E+001,    0.3931E+002,    0.6044E+001,    0.4177E+002,    0.1822E+000,
 0.2126E+003,    0.2092E+001,    0.3996E+002,    0.5637E+001,    0.3474E+002,    0.1692E+000,
 0.2149E+003,    0.2115E+001,    0.4059E+002,    0.5294E+001,    0.2896E+002,    0.1584E+000,
 0.2172E+003,    0.2137E+001,    0.4119E+002,    0.5005E+001,    0.2426E+002,    0.1493E+000,
 0.2194E+003,    0.2160E+001,    0.4177E+002,    0.4760E+001,    0.2046E+002,    0.1416E+000,
 0.2217E+003,    0.2182E+001,    0.4230E+002,    0.4551E+001,    0.1738E+002,    0.1351E+000,
 0.2240E+003,    0.2205E+001,    0.4281E+002,    0.4371E+001,    0.1488E+002,    0.1295E+000,
 0.2263E+003,    0.2227E+001,    0.4329E+002,    0.4215E+001,    0.1284E+002,    0.1247E+000,
 0.2286E+003,    0.2250E+001,    0.4373E+002,    0.4080E+001,    0.1117E+002,    0.1205E+000,
