 DISTANCE,     TIME,         TEMP,         PERCENT,      RATE,         SOLVENT REMAINING,
 cm,           sec,          deg C,        REMAINING,    gm/sqm/min,   gm/sqm,
          ,             ,             ,             ,             ,    SOLVENT 1,
 0.0000E+000,    0.0000E+000,    0.2000E+002,    0.7870E+002,    0.0000E+000,    0.1047E+002,
 0.2286E+001,    0.2250E-001,    0.2579E+002,    0.7859E+002,    0.1895E+003,    0.1040E+002,
 0.4572E+001,    0.4500E-001,    0.3071E+002,    0.7839E+002,    0.3159E+003,    0.1028E+002,
 0.6858E+001,    0.6750E-001,    0.3479E+002,    0.7811E+002,    0.4516E+003,    0.1011E+002,
 0.9144E+001,    0.9000E-001,    0.3807E+002,    0.7773E+002,    0.5864E+003,    0.9888E+001,
 0.1143E+002,    0.1125E+000,    0.4065E+002,    0.7725E+002,    0.7114E+003,    0.9622E+001,
 0.1372E+002,    0.1350E+000,    0.4263E+002,    0.7668E+002,    0.8204E+003,    0.9314E+001,
 0.1600E+002,    0.1575E+000,    0.4412E+002,    0.7600E+002,    0.9106E+003,    0.8972E+001,
 0.1829E+002,    0.1800E+000,    0.4522E+002,    0.7523E+002,    0.9821E+003,    0.8604E+001,
 0.2057E+002,    0.2025E+000,    0.4603E+002,    0.7436E+002,    0.1037E+004,    0.8215E+001,
 0.2286E+002,    0.2250E+000,    0.4661E+002,    0.7339E+002,    0.1077E+004,    0.7811E+001,
 0.2514E+002,    0.2475E+000,    0.4704E+002,    0.7231E+002,    0.1107E+004,    0.7396E+001,
 0.2743E+002,    0.2700E+000,    0.4736E+002,    0.7111E+002,    0.1128E+004,    0.6973E+001,
 0.2972E+002,    0.2925E+000,    0.4759E+002,    0.6979E+002,    0.1142E+004,    0.6545E+001,
 0.3200E+002,    0.3150E+000,    0.4777E+002,    0.6833E+002,    0.1151E+004,    0.6114E+001,
 0.3429E+002,    0.3375E+000,    0.4791E+002,    0.6672E+002,    0.1157E+004,    0.5680E+001,
 0.3657E+002,    0.3600E+000,    0.4803E+002,    0.6493E+002,    0.1160E+004,    0.5245E+001,
 0.3886E+002,    0.3825E+000,    0.4815E+002,    0.6293E+002,    0.1160E+004,    0.4810E+001,
 0.4115E+002,    0.4050E+000,    0.4826E+002,    0.6070E+002,    0.1158E+004,    0.4376E+001,
 0.4343E+002,    0.4275E+000,    0.4839E+002,    0.5819E+002,    0.1154E+004,    0.3943E+001,
 0.4572E+002,    0.4500E+000,    0.4853E+002,    0.5535E+002,    0.1148E+004,    0.3512E+001,
 0.4800E+002,    0.4725E+000,    0.4871E+002,    0.5213E+002,    0.1139E+004,    0.3085E+001,
 0.5029E+002,    0.4950E+000,    0.4894E+002,    0.4845E+002,    0.1126E+004,    0.2663E+001,
 0.5258E+002,    0.5175E+000,    0.4925E+002,    0.4424E+002,    0.1108E+004,    0.2247E+001,
 0.5486E+002,    0.5400E+000,    0.4967E+002,    0.3940E+002,    0.1080E+004,    0.1842E+001,
 0.5715E+002,    0.5625E+000,    0.5026E+002,    0.3389E+002,    0.1039E+004,    0.1452E+001,
 0.5943E+002,    0.5850E+000,    0.5112E+002,    0.2771E+002,    0.9775E+003,    0.1086E+001,
 0.6172E+002,    0.6075E+000,    0.5239E+002,    0.2104E+002,    0.8832E+003,    0.7547E+000,
 0.6400E+002,    0.6300E+000,    0.5428E+002,    0.1438E+002,    0.7440E+003,    0.4757E+000,
 0.6629E+002,    0.6525E+000,    0.5697E+002,    0.8607E+001,    0.5571E+003,    0.2668E+000,
 0.6858E+002,    0.6750E+000,    0.6052E+002,    0.4571E+001,    0.3496E+003,    0.1357E+000,
 0.7086E+002,    0.6975E+000,    0.6468E+002,    0.2395E+001,    0.1765E+003,    0.6951E-001,
 0.7315E+002,    0.7200E+000,    0.6904E+002,    0.1449E+001,    0.7430E+002,    0.4165E-001,
 0.7543E+002,    0.7425E+000,    0.7329E+002,    0.1050E+001,    0.3087E+002,    0.3007E-001,
 0.7772E+002,    0.7650E+000,    0.7729E+002,    0.8434E+000,    0.1594E+002,    0.2410E-001,
 0.8001E+002,    0.7875E+000,    0.8101E+002,    0.7073E+000,    0.1045E+002,    0.2018E-001,
 0.8229E+002,    0.8100E+000,    0.8446E+002,    0.6073E+000,    0.7659E+001,    0.1731E-001,
 0.8458E+002,    0.8325E+000,    0.8766E+002,    0.5305E+000,    0.5868E+001,    0.1511E-001,
 0.8686E+002,    0.8550E+000,    0.9062E+002,    0.4700E+000,    0.4610E+001,    0.1338E-001,
 0.8915E+002,    0.8775E+000,    0.9336E+002,    0.4216E+000,    0.3691E+001,    0.1199E-001,
 0.9144E+002,    0.9000E+000,    0.9589E+002,    0.3822E+000,    0.3001E+001,    0.1087E-001,
 0.9372E+002,    0.9225E+000,    0.9823E+002,    0.3497E+000,    0.2472E+001,    0.9942E-002,
 0.9601E+002,    0.9450E+000,    0.1004E+003,    0.3226E+000,    0.2060E+001,    0.9170E-002,
 0.9829E+002,    0.9675E+000,    0.1024E+003,    0.2998E+000,    0.1733E+001,    0.8520E-002,
 0.1006E+003,    0.9900E+000,    0.1042E+003,    0.2805E+000,    0.1471E+001,    0.7968E-002,
 0.1029E+003,    0.1012E+001,    0.1059E+003,    0.2639E+000,    0.1258E+001,    0.7496E-002,
 0.1052E+003,    0.1035E+001,    0.1075E+003,    0.2497E+000,    0.1083E+001,    0.7090E-002,
 0.1074E+003,    0.1057E+001,    0.1090E+003,    0.2373E+000,    0.9388E+000,    0.6738E-002,
 0.1097E+003,    0.1080E+001,    0.1103E+003,    0.2265E+000,    0.8180E+000,    0.6431E-002,
 0.1120E+003,    0.1102E+001,    0.1116E+003,    0.2171E+000,    0.7163E+000,    0.6163E-002,
 0.1143E+003,    0.1125E+001,    0.1127E+003,    0.2088E+000,    0.6301E+000,    0.5926E-002,
 0.1166E+003,    0.1147E+001,    0.1138E+003,    0.2014E+000,    0.5565E+000,    0.5718E-002,
 0.1189E+003,    0.1170E+001,    0.1148E+003,    0.1949E+000,    0.4934E+000,    0.5533E-002,
 0.1212E+003,    0.1192E+001,    0.1157E+003,    0.1891E+000,    0.4389E+000,    0.5368E-002,
 0.1234E+003,    0.1215E+001,    0.1165E+003,    0.1840E+000,    0.3916E+000,    0.5221E-002,
 0.1257E+003,    0.1237E+001,    0.1173E+003,    0.1793E+000,    0.3504E+000,    0.5090E-002,
 0.1280E+003,    0.1260E+001,    0.1180E+003,    0.1752E+000,    0.3144E+000,    0.4972E-002,
 0.1303E+003,    0.1282E+001,    0.1187E+003,    0.1715E+000,    0.2827E+000,    0.4866E-002,
 0.1326E+003,    0.1305E+001,    0.1193E+003,    0.1681E+000,    0.2547E+000,    0.4770E-002,
 0.1349E+003,    0.1327E+001,    0.1198E+003,    0.1651E+000,    0.2300E+000,    0.4684E-002,
 0.1372E+003,    0.1350E+001,    0.1204E+003,    0.1623E+000,    0.2080E+000,    0.4606E-002,
 0.1394E+003,    0.1372E+001,    0.1208E+003,    0.1598E+000,    0.1885E+000,    0.4536E-002,
 0.1417E+003,    0.1395E+001,    0.1213E+003,    0.1576E+000,    0.1709E+000,    0.4471E-002,
 0.1440E+003,    0.1417E+001,    0.1217E+003,    0.1556E+000,    0.1548E+000,    0.4413E-002,
 0.1463E+003,    0.1440E+001,    0.1221E+003,    0.1537E+000,    0.1382E+000,    0.4362E-002,
 0.1486E+003,    0.1462E+001,    0.1224E+003,    0.1523E+000,    0.1091E+000,    0.4321E-002,
 0.1509E+003,    0.1485E+001,    0.1227E+003,    0.1527E+000,   -0.3250E-001,    0.4333E-002,
 0.1532E+003,    0.1507E+001,    0.1230E+003,    0.3695E+000,   -0.1647E+002,    0.1051E-001,
 0.1554E+003,    0.1530E+001,    0.1233E+003,    0.3695E+000,    0.0000E+000,    0.1051E-001,
 0.1577E+003,    0.1552E+001,    0.1236E+003,    0.3695E+000,    0.0000E+000,    0.1051E-001,
 0.1600E+003,    0.1575E+001,    0.1238E+003,    0.3695E+000,    0.0000E+000,    0.1051E-001,
 0.1623E+003,    0.1597E+001,    0.1240E+003,    0.3695E+000,    0.0000E+000,    0.1051E-001,
 0.1646E+003,    0.1620E+001,    0.1242E+003,    0.3695E+000,    0.0000E+000,    0.1051E-001,
 0.1669E+003,    0.1642E+001,    0.1244E+003,    0.3695E+000,    0.0000E+000,    0.1051E-001,
 0.1692E+003,    0.1665E+001,    0.1246E+003,    0.3695E+000,    0.0000E+000,    0.1051E-001,
 0.1714E+003,    0.1687E+001,    0.1247E+003,    0.3695E+000,    0.0000E+000,    0.1051E-001,
 0.1737E+003,    0.1710E+001,    0.1249E+003,    0.3695E+000,    0.0000E+000,    0.1051E-001,
 0.1760E+003,    0.1732E+001,    0.1250E+003,    0.3695E+000,    0.0000E+000,    0.1051E-001,
 0.1783E+003,    0.1755E+001,    0.1251E+003,    0.3695E+000,    0.0000E+000,    0.1051E-001,
 0.1806E+003,    0.1777E+001,    0.1253E+003,    0.3695E+000,    0.0000E+000,    0.1051E-001,
 0.1829E+003,    0.1800E+001,    0.1254E+003,    0.3695E+000,    0.0000E+000,    0.1051E-001,
 0.1852E+003,    0.1822E+001,    0.1255E+003,    0.3695E+000,    0.0000E+000,    0.1051E-001,
 0.1874E+003,    0.1845E+001,    0.1256E+003,    0.3695E+000,    0.0000E+000,    0.1051E-001,
 0.1897E+003,    0.1867E+001,    0.1256E+003,    0.3695E+000,    0.0000E+000,    0.1051E-001,
 0.1920E+003,    0.1890E+001,    0.1257E+003,    0.3695E+000,    0.0000E+000,    0.1051E-001,
 0.1943E+003,    0.1912E+001,    0.1258E+003,    0.3695E+000,    0.0000E+000,    0.1051E-001,
 0.1966E+003,    0.1935E+001,    0.1259E+003,    0.3695E+000,    0.0000E+000,    0.1051E-001,
 0.1989E+003,    0.1957E+001,    0.1259E+003,    0.3695E+000,    0.0000E+000,    0.1051E-001,
 0.2012E+003,    0.1980E+001,    0.1260E+003,    0.3695E+000,    0.0000E+000,    0.1051E-001,
 0.2034E+003,    0.2002E+001,    0.1260E+003,    0.3695E+000,    0.0000E+000,    0.1051E-001,
 0.2057E+003,    0.2025E+001,    0.1261E+003,    0.3695E+000,    0.0000E+000,    0.1051E-001,
 0.2080E+003,    0.2047E+001,    0.1261E+003,    0.3695E+000,    0.0000E+000,    0.1051E-001,
 0.2103E+003,    0.2070E+001,    0.1262E+003,    0.3695E+000,    0.0000E+000,    0.1051E-001,
 0.2126E+003,    0.2092E+001,    0.1262E+003,    0.3695E+000,    0.0000E+000,    0.1051E-001,
 0.2149E+003,    0.2115E+001,    0.1262E+003,    0.3695E+000,    0.0000E+000,    0.1051E-001,
 0.2172E+003,    0.2137E+001,    0.1263E+003,    0.3695E+000,    0.0000E+000,    0.1051E-001,
 0.2194E+003,    0.2160E+001,    0.1263E+003,    0.3695E+000,    0.0000E+000,    0.1051E-001,
 0.2217E+003,    0.2182E+001,    0.1263E+003,    0.3695E+000,    0.0000E+000,    0.1051E-001,
 0.2240E+003,    0.2205E+001,    0.1263E+003,    0.3695E+000,    0.0000E+000,    0.1051E-001,
 0.2263E+003,    0.2227E+001,    0.1264E+003,    0.3695E+000,    0.0000E+000,    0.1051E-001,
 0.2286E+003,    0.2250E+001,    0.1264E+003,    0.3695E+000,    0.0000E+000,    0.1051E-001,
